Store name as per Uber Eats manager,External store ID as per Uber Eats manager,Order ID as per Uber Eats manager,Unique ID to identify the order ,"The mode of order fulfillment whether it was delivery by courier via Uber network, delivery by merchant, Pick-up by customer or Dine-in",Mode of payment used for order payment,"The platform from which the customer ordered, (i.e. iOS, Android, Uber Eats Web)","Either: Completed (eater received food), Cancelled (order cancelled by eater or support), Refund (eater was refunded for order), or Unfulfilled (order was not able to be completed)","Local date the order was placed, or local date of the original order placed for which there is a refund",Local timestamp for when order was accepted by the merchant ,Uber membership status of the customer who placed the order,Total item sales excl tax ,Tax on total item sales in the order,Total item sales incl tax,Amount merchants are responsible for refunding customers when they report order errors (excl tax),Tax Refund On Sales,Amount merchants are responsible for refunding customers when they report order errors (incl tax),Adjustments merchants made to the price of items once an order has been placed (excl tax),Tax on in-store price adjustments,Merchant promotions applied to the order,Tax on merchant promotions applied to the order,Merchant promotions applied to the delivery fee charged to Eaters,Tax on merchant promotions applied to the delivery fee charged to Eaters,Offer Redemption Fee,Fee charged to eater by the merchant for the packaging material,Amount merchant charges Uber for co-funded marketing campaigns. Varies depending on co-funding % for the campaign.,"Total item sales including promotions, adjustments and bag fee incl tax where applicable","The fee Uber charges to merchant to make their store visible to potential customers, provide support and other related services ( %fee is applied to sub-total before discounts) ",The % Marketplace fee Uber charges merchant,Tax on Marketplace fee charged to merchant by Uber,Fixed Fee charged to merchant by Uber for using Ubers delivery network ,Tax on delivery network fee charged to merchant by Uber,A flat % fee on the basket charged by Uber to merchants for processing every order ,"Where delivery fee is greater than cost of delivery, this is equal to (delivery fee minus the cost of delivery) where applicable",Tax on service fee charged by merchants to eaters,"For merchants who perform their own delivery, the tip from the Eater to the courier",Amount directed to Merchant Capital payments,Description of adhoc one-time payments or charges from Uber to the merchant,"All miscellaneous payments like Ad payments, Ad credits etc. inclusive of tax",Tax on Uber funded promotions applied to the order,Sales tax Uber Eats is required to pay in jurisdictions with marketplace facilitator laws ,"As required by the IRS, a % withheld from payments if the EIN/TIN is missing or does not match IRS records.",Total payout associated with this order (negative if associated with a refund)  Sales + Adjustments - promotions + marketing adjustment + Bag fee + delivery fee (self delivery) + tips (self-delivery) - marketplace fee +/- Other payments - marketplace facilitator tax  (incl tax where applicable),Date payout initiated by Uber (generally the Monday following the prior week),Amount commercially agreed to between Merchant and Uber added on a per item basis and charged to the Eater on Merchant’s behalf	,Applicable taxes due on the Markup Amount,"This is the ID from retailers, used to identify retailer loyalty customers",The reference ID for identifying the payout related to this order in the Payout Summary Report CSV
Store Name,Store ID,Order ID,Workflow ID,Dining Mode,Payment Mode,Order Channel,Order Status,Order Date,Order Accept Time,Customer Uber-Membership Status,Sales (excl. tax),Tax on Sales,Sales (incl. tax),Order Error Adjustments,Tax on Order Error Adjustments,Order Error Adjustments (incl. tax),Price adjustments (excl. tax),Tax on Price Adjustments,Offers on items (incl. tax),Tax On Offers on items,Delivery Offer Redemptions (incl. tax),Tax On Delivery Offer Redemptions,Offer Redemption Fee,Bag Fee,Marketing Adjustment,Total Sales after Adjustments (incl tax),Marketplace Fee,Marketplace fee %,Tax on Marketplace Fee,Delivery Network Fee,Tax on Delivery Network Fee,Order Processing Fee,Delivery Fee,Tax On Delivery Fee,Tips,Capital payments,Other payments description,Other payments,"Marketplace Facilitator Tax Adjustment
",Marketplace Facilitator Tax,Backup Withholding Tax,Total payout ,Payout Date,Markup Amount,Markup Tax,Retailer Loyalty ID,Payout reference ID
Capriotti's Sandwich Shop (IA069),69|15645,,,,,UberEats Unknown,,10/13/25,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Ad Spend,-1.11,,0,0,-1.11,,0,0,,
Capriotti's Sandwich Shop (IA069),69|15645,#3F115,c3985785-0e3c-4ad3-9e3e-acbcf773f115,Delivery - Partner Using Uber App,Digital,UberEats Android,Completed,10/13/25,11:15 AM,Uber One member,21.28,1.65,22.93,0,0,0,0,0,0,0,0,0,0,0,0,22.93,-4.47,21,0,0,0,0,0,0,0,0,,0,,-1.65,0,16.81,,0,0,,
Capriotti's Sandwich Shop (IA069),69|15645,#FD149,001b99d6-5cc4-4418-8483-7f32fc3fd149,Delivery - Partner Using Uber App,Digital,UberEats Android,Completed,10/13/25,4:58 PM,Uber One member,45.07,3.83,48.9,0,0,0,0,0,0,0,0,0,0,0,0,48.9,-9.46,21,0,0,0,0,0,0,0,0,,0,,-3.83,0,35.61,,0,0,,
Capriotti's Sandwich Shop (IA069),69|15645,,,,,UberEats Unknown,,10/14/25,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Ad Spend,-1.52,,0,0,-1.52,,0,0,,
Capriotti's Sandwich Shop (IA069),69|15645,,,,,UberEats Unknown,,10/15/25,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Ad Spend,-0.39,,0,0,-0.39,,0,0,,
Capriotti's Sandwich Shop (IA069),69|15645,,,,,UberEats Unknown,,10/16/25,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Ad Spend,-0.75,,0,0,-0.75,,0,0,,
Capriotti's Sandwich Shop (IA069),69|15645,#34593,50d17cf5-acaa-4c5b-8575-3db13af34593,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,10/16/25,10:40 AM,Uber One member,60.07,4.21,64.28,0,0,0,0,0,0,0,0,0,0,0,0,64.28,-12.61,21,0,0,0,0,0,0,0,0,,0,,-4.21,0,47.46,,0,0,,
Capriotti's Sandwich Shop (IA069),69|15645,#36326,dfd3561c-4ee4-4949-ba2c-abab55636326,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,10/16/25,3:55 PM,Uber One member,23.36,1.64,25,0,0,0,0,0,0,0,0,0,0,0,0,25,-4.91,21,0,0,0,0,0,0,0,0,,0,,-1.64,0,18.45,,0,0,,
Capriotti's Sandwich Shop (IA069),69|15645,#4261B,25ff074d-57ee-4619-8214-b8b08e64261b,Delivery - Partner Using Uber App,Digital,UberEats Web,Completed,10/16/25,4:39 PM,Non-member,24.58,1.73,26.31,0,0,0,0,0,0,0,0,0,0,0,0,26.31,-4.42,18,0,0,0,0,0,0,0,0,,0,,-1.73,0,20.16,,0,0,,
