Store name as per Uber Eats manager,External store ID as per Uber Eats manager,Order ID as per Uber Eats manager,Unique ID to identify the order ,"The mode of order fulfillment whether it was delivery by courier via Uber network, delivery by merchant, Pick-up by customer or Dine-in",Mode of payment used for order payment,"The platform from which the customer ordered, (i.e. iOS, Android, Uber Eats Web)","Either: Completed (eater received food), Cancelled (order cancelled by eater or support), Refund (eater was refunded for order), or Unfulfilled (order was not able to be completed)","Local date the order was placed, or local date of the original order placed for which there is a refund",Local timestamp for when order was accepted by the merchant ,Uber membership status of the customer who placed the order,Total item sales excl tax ,Tax on total item sales in the order,Total item sales incl tax,Amount merchants are responsible for refunding customers when they report order errors (excl tax),Tax Refund On Sales,Amount merchants are responsible for refunding customers when they report order errors (incl tax),Adjustments merchants made to the price of items once an order has been placed (excl tax),Tax on in-store price adjustments,Merchant promotions applied to the order,Tax on merchant promotions applied to the order,Merchant promotions applied to the delivery fee charged to Eaters,Tax on merchant promotions applied to the delivery fee charged to Eaters,Offer Redemption Fee,Fee charged to eater by the merchant for the packaging material,Amount merchant charges Uber for co-funded marketing campaigns. Varies depending on co-funding % for the campaign.,"Total item sales including promotions, adjustments and bag fee incl tax where applicable","The fee Uber charges to merchant to make their store visible to potential customers, provide support and other related services ( %fee is applied to sub-total before discounts) ",The % Marketplace fee Uber charges merchant,Tax on Marketplace fee charged to merchant by Uber,Fixed Fee charged to merchant by Uber for using Ubers delivery network ,Tax on delivery network fee charged to merchant by Uber,A flat % fee on the basket charged by Uber to merchants for processing every order ,"Where delivery fee is greater than cost of delivery, this is equal to (delivery fee minus the cost of delivery) where applicable",Tax on service fee charged by merchants to eaters,"For merchants who perform their own delivery, the tip from the Eater to the courier",Amount directed to Merchant Capital payments,Description of adhoc one-time payments or charges from Uber to the merchant,"All miscellaneous payments like Ad payments, Ad credits etc. inclusive of tax",Tax on Uber funded promotions applied to the order,Sales tax Uber Eats is required to pay in jurisdictions with marketplace facilitator laws ,"As required by the IRS, a % withheld from payments if the EIN/TIN is missing or does not match IRS records.",Total payout associated with this order (negative if associated with a refund)  Sales + Adjustments - promotions + marketing adjustment + Bag fee + delivery fee (self delivery) + tips (self-delivery) - marketplace fee +/- Other payments - marketplace facilitator tax  (incl tax where applicable),Date payout initiated by Uber (generally the Monday following the prior week),Amount commercially agreed to between Merchant and Uber added on a per item basis and charged to the Eater on Merchant’s behalf	,Applicable taxes due on the Markup Amount,"This is the ID from retailers, used to identify retailer loyalty customers",The reference ID for identifying the payout related to this order in the Payout Summary Report CSV
Store Name,Store ID,Order ID,Workflow ID,Dining Mode,Payment Mode,Order Channel,Order Status,Order Date,Order Accept Time,Customer Uber-Membership Status,Sales (excl. tax),Tax on Sales,Sales (incl. tax),Order Error Adjustments,Tax on Order Error Adjustments,Order Error Adjustments (incl. tax),Price adjustments (excl. tax),Tax on Price Adjustments,Offers on items (incl. tax),Tax On Offers on items,Delivery Offer Redemptions (incl. tax),Tax On Delivery Offer Redemptions,Offer Redemption Fee,Bag Fee,Marketing Adjustment,Total Sales after Adjustments (incl tax),Marketplace Fee,Marketplace fee %,Tax on Marketplace Fee,Delivery Network Fee,Tax on Delivery Network Fee,Order Processing Fee,Delivery Fee,Tax On Delivery Fee,Tips,Capital payments,Other payments description,Other payments,"Marketplace Facilitator Tax Adjustment
",Marketplace Facilitator Tax,Backup Withholding Tax,Total payout ,Payout Date,Markup Amount,Markup Tax,Retailer Loyalty ID,Payout reference ID
Capriotti's Sandwich Shop (IA069),69|15645,,,,,UberEats Unknown,,9/1/25,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Ad Spend,-1.17,,0,0,-1.17,9/8/25,0,0,,JA7RXW8BJE0U1LA
Capriotti's Sandwich Shop (IA069),69|15645,#231CE,79f562c3-c586-4617-ae0b-f2cd027231ce,Pickup,Digital,UberEats iOS,Completed,9/1/25,12:55 PM,Non-member,18.19,1.27,19.46,0,0,0,0,0,0,0,0,0,0,0,0,19.46,-1.09,6,0,0,0,0,0,0,0,0,,0,,-1.27,0,17.1,9/8/25,0,0,,JA7RXW8BJE0U1LA
Capriotti's Sandwich Shop (IA069),69|15645,#C78FF,0cd8071a-4b90-4857-b3bc-754b6edc78ff,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,9/1/25,1:21 PM,Non-member,38.86,2.72,41.58,0,0,0,0,0,0,0,0,0,0,0,0,41.58,-6.99,18,0,0,0,0,0,0,0,0,,0,,-2.72,0,31.87,9/8/25,0,0,,JA7RXW8BJE0U1LA
Capriotti's Sandwich Shop (IA069),69|15645,,,,,UberEats Unknown,,9/2/25,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Ad Spend,-5.6,,0,0,-5.6,9/8/25,0,0,,JA7RXW8BJE0U1LA
Capriotti's Sandwich Shop (IA069),69|15645,,,,,UberEats Unknown,,9/2/25,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Ad Spend,-0.6,,0,0,-0.6,9/8/25,0,0,,JA7RXW8BJE0U1LA
Capriotti's Sandwich Shop (IA069),69|15645,#FCE1A,5079e0f6-e476-42de-91bc-a852306fce1a,Delivery - Partner Using Uber App,Digital,UberEats Web,Completed,9/2/25,11:50 AM,Non-member,34.48,2.42,36.9,0,0,0,0,0,0,0,0,0,0,0,0,36.9,-6.21,18,0,0,0,0,0,0,0,0,,0,,-2.42,0,28.27,9/8/25,0,0,,JA7RXW8BJE0U1LA
Capriotti's Sandwich Shop (IA069),69|15645,#15CD4,676a595d-6794-4065-b2f4-c9cec7415cd4,Pickup,Digital,UberEats iOS,Completed,9/2/25,2:10 PM,Non-member,38.78,2.71,41.49,0,0,0,0,0,0,0,0,0,0,0,0,41.49,-2.33,6,0,0,0,0,0,0,0,0,,0,,-2.71,0,36.45,9/8/25,0,0,,JA7RXW8BJE0U1LA
Capriotti's Sandwich Shop (IA069),69|15645,#4412F,d87ddffd-6f1b-459c-bf20-ad429404412f,Delivery - Partner Using Uber App,Digital,UberEats Android,Completed,9/2/25,4:18 PM,Non-member,32.68,2.29,34.97,0,0,0,0,0,0,0,0,0,0,0,0,34.97,-5.88,18,0,0,0,0,0,0,0,0,,0,,-2.29,0,26.8,9/8/25,0,0,,JA7RXW8BJE0U1LA
Capriotti's Sandwich Shop (IA069),69|15645,#4434B,012eab21-97fd-48f4-8c4d-98e82d94434b,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,9/2/25,5:12 PM,Uber One member,28.78,2.38,31.16,0,0,0,0,0,0,0,0,0,0,0,0,31.16,-6.04,21,0,0,0,0,0,0,0,0,,0,,-2.38,0,22.74,9/8/25,0,0,,JA7RXW8BJE0U1LA
Capriotti's Sandwich Shop (IA069),69|15645,#B0F6F,8d04c123-948b-48cd-b2c6-77a9b73b0f6f,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,9/2/25,6:00 PM,Non-member,22.07,1.88,23.95,0,0,0,0,0,0,0,0,0,0,0,0,23.95,-3.97,18,0,0,0,0,0,0,0,0,,0,,-1.88,0,18.1,9/8/25,0,0,,JA7RXW8BJE0U1LA
Capriotti's Sandwich Shop (IA069),69|15645,,,,,UberEats Unknown,,9/3/25,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Ad Spend,-4.65,,0,0,-4.65,9/8/25,0,0,,JA7RXW8BJE0U1LA
Capriotti's Sandwich Shop (IA069),69|15645,#EC98A,620394a8-ec25-42b8-8251-94ae40cec98a,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,9/3/25,1:13 PM,Uber One member,33.18,2.73,35.91,0,0,0,0,0,0,0,0,0,0,0,0,35.91,-6.97,21,0,0,0,0,0,0,0,0,,0,,-2.73,0,26.21,9/8/25,0,0,,JA7RXW8BJE0U1LA
Capriotti's Sandwich Shop (IA069),69|15645,#F6CA1,aac9b5c1-5bc8-47e7-8eb2-cc37598f6ca1,Delivery - Partner Using Uber App,Digital,UberEats Android,Completed,9/3/25,7:26 PM,Uber One member,39.56,3.36,42.92,0,0,0,0,0,0,0,0,0,0,0,0,42.92,-8.31,21,0,0,0,0,0,0,0,0,,0,,-3.36,0,31.25,9/8/25,0,0,,JA7RXW8BJE0U1LA
Capriotti's Sandwich Shop (IA069),69|15645,,,,,UberEats Unknown,,9/4/25,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Ad Spend,-5.53,,0,0,-5.53,9/8/25,0,0,,JA7RXW8BJE0U1LA
Capriotti's Sandwich Shop (IA069),69|15645,#4CD5B,d3544122-e0c3-4b4a-8bff-ca7bcef4cd5b,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,9/4/25,1:25 PM,Uber One member,21.28,1.49,22.77,0,0,0,0,0,0,0,0,0,0,0,0,22.77,-4.47,21,0,0,0,0,0,0,0,0,,0,,-1.49,0,16.81,9/8/25,0,0,,JA7RXW8BJE0U1LA
Capriotti's Sandwich Shop (IA069),69|15645,#58AE5,4c95bf93-2b38-464d-9aa1-69405a658ae5,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,9/4/25,4:35 PM,Uber One member,25.08,1.76,26.84,0,0,0,0,0,0,0,0,0,0,0,0,26.84,-5.27,21,0,0,0,0,0,0,0,0,,0,,-1.76,0,19.81,9/8/25,0,0,,JA7RXW8BJE0U1LA
