Store Name,Store ID,Order ID,Workflow ID,Item Name,Item Priced By,Unit Sold By,Estimated Average Weight,Requested Weight,Final Weight,Requested Count,Final Count,Requested Quantity,Final Quantity,Unit price,External ID ,Dining Mode,Payment Mode,Order Channel,Order Status,Order Date,Order Accept Time,Customer Uber-Membership Status,Sales (excl. tax),Tax on Sales,Sales (incl. tax),Order Error Adjustments,Tax on Order Error Adjustments,Order Error Adjustments (incl. tax),Price adjustments (excl. tax),Tax on Price Adjustments,Offers on items (incl. tax),Tax On Offers on items,Delivery Offer Redemptions (incl. tax),Tax On Delivery Offer Redemptions,Offer Redemption Fee,Bag Fee,Marketing Adjustment,Total Sales after Adjustments (incl tax),Marketplace Fee,Marketplace fee %,Tax on Marketplace Fee,Delivery Network Fee,Tax on Delivery Network Fee,Order Processing Fee,Delivery Fee,Tax On Delivery Fee,Tips,Capital payments,Other payments description,Other payments,"Marketplace Facilitator Tax Adjustment
",Marketplace Facilitator Tax,Backup Withholding Tax,Total payout ,Payout Date,Markup Amount,Markup Tax,Retailer Loyalty ID,Payout reference ID
Capriotti's Sandwich Shop (IA069),69|15645,,,,,,,,,,,,,,,,,UberEats Unknown,,9/22/25,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Ad Spend,-1.37,,0,0,-1.37,9/29/25,0,0,,VRX0P1XOSA5CLKZ
Capriotti's Sandwich Shop (IA069),69|15645,,,,,,,,,,,,,,,,,UberEats Unknown,,9/22/25,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Ad Spend,-0.82,,0,0,-0.82,9/29/25,0,0,,VRX0P1XOSA5CLKZ
Capriotti's Sandwich Shop (IA069),69|15645,#AD67A,44d57290-ad58-4e5a-aa28-cb0dabbad67a,,,,,,,,,,,,,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,9/22/25,4:41 PM,Uber One member,24.58,1.73,26.31,0,0,0,0,0,0,0,0,0,0,0,0,26.31,-5.16,21,0,0,0,0,0,0,0,0,,0,,-1.73,0,19.42,9/29/25,0,0,,VRX0P1XOSA5CLKZ
,,,44d57290-ad58-4e5a-aa28-cb0dabbad67a,American Wagyu Cheesesteak,Count,Count,0,0,0,1,1,1,1,12.49,836177,Delivery - Partner Using Uber App,,UberEats iOS,Completed,9/22/25,4:41 PM,,21.29,1.5,22.79,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,44d57290-ad58-4e5a-aa28-cb0dabbad67a,Brookie,Count,Count,0,0,0,1,1,1,1,3.29,855926,Delivery - Partner Using Uber App,,UberEats iOS,Completed,9/22/25,4:41 PM,,3.29,0.23,3.52,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capriotti's Sandwich Shop (IA069),69|15645,,,,,,,,,,,,,,,,,UberEats Unknown,,9/23/25,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Ad Spend,-5.16,,0,0,-5.16,9/29/25,0,0,,VRX0P1XOSA5CLKZ
Capriotti's Sandwich Shop (IA069),69|15645,,,,,,,,,,,,,,,,,UberEats Unknown,,9/23/25,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Ad Spend,-0.73,,0,0,-0.73,9/29/25,0,0,,VRX0P1XOSA5CLKZ
Capriotti's Sandwich Shop (IA069),69|15645,,,,,,,,,,,,,,,,,UberEats Unknown,,9/23/25,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Ad Spend,-5.94,,0,0,-5.94,9/29/25,0,0,,VRX0P1XOSA5CLKZ
Capriotti's Sandwich Shop (IA069),69|15645,#D5C38,ea222c86-dc04-4fcd-b2cc-b1b4673d5c38,,,,,,,,,,,,,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,9/23/25,6:43 PM,Non-member,56.06,3.93,59.99,0,0,0,0,0,-8,-0.57,0,0,0,0,1.6,53.59,-8.94,18,0,0,0,0,0,0,0,0,,0,,-3.36,0,40.72,9/29/25,0,0,,VRX0P1XOSA5CLKZ
,,,ea222c86-dc04-4fcd-b2cc-b1b4673d5c38,Homemade Tuna,Count,Count,0,0,0,1,1,1,1,9.99,836261,Delivery - Partner Using Uber App,,UberEats iOS,Completed,9/23/25,6:43 PM,,16.29,1.14,17.43,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ea222c86-dc04-4fcd-b2cc-b1b4673d5c38,Large Chips,Count,Count,0,0,0,1,1,1,1,8.79,855915,Delivery - Partner Using Uber App,,UberEats iOS,Completed,9/23/25,6:43 PM,,8.79,0.62,9.41,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ea222c86-dc04-4fcd-b2cc-b1b4673d5c38,Plant-Based Turkey,Count,Count,0,0,0,1,1,1,1,10.69,836263,Delivery - Partner Using Uber App,,UberEats iOS,Completed,9/23/25,6:43 PM,,30.98,2.17,33.15,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capriotti's Sandwich Shop (IA069),69|15645,,,,,,,,,,,,,,,,,UberEats Unknown,,9/24/25,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Ad Spend,-1.61,,0,0,-1.61,9/29/25,0,0,,VRX0P1XOSA5CLKZ
Capriotti's Sandwich Shop (IA069),69|15645,,,,,,,,,,,,,,,,,UberEats Unknown,,9/24/25,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Ad Spend,-4.24,,0,0,-4.24,9/29/25,0,0,,VRX0P1XOSA5CLKZ
Capriotti's Sandwich Shop (IA069),69|15645,#28EA7,0644d869-54a9-4d5b-96a0-9ad2ea828ea7,,,,,,,,,,,,,Delivery - Partner Using Uber App,Digital,UberEats Web,Completed,9/24/25,10:35 AM,Non-member,48.47,3.4,51.87,0,0,0,0,0,-8,-0.56,0,0,0,0,1.6,45.47,-8.83,21,0,0,0,0,0,0,0,0,,0,,-2.84,0,33.24,9/29/25,0,0,,VRX0P1XOSA5CLKZ
,,,0644d869-54a9-4d5b-96a0-9ad2ea828ea7,Classic Italian,Count,Count,0,0,0,1,1,1,1,10.69,975615,Delivery - Partner Using Uber App,,UberEats Web,Completed,9/24/25,10:35 AM,,17.49,1.23,18.72,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0644d869-54a9-4d5b-96a0-9ad2ea828ea7,Classic Meatball,Count,Count,0,0,0,1,1,1,1,10.69,836188,Delivery - Partner Using Uber App,,UberEats Web,Completed,9/24/25,10:35 AM,,30.98,2.17,33.15,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
