Store name as per Uber Eats manager,External store ID as per Uber Eats manager,Order ID as per Uber Eats manager,Unique ID to identify the order ,"The mode of order fulfillment whether it was delivery by courier via Uber network, delivery by merchant, Pick-up by customer or Dine-in",Mode of payment used for order payment,"The platform from which the customer ordered, (i.e. iOS, Android, Uber Eats Web)","Either: Completed (eater received food), Cancelled (order cancelled by eater or support), Refund (eater was refunded for order), or Unfulfilled (order was not able to be completed)","Local date the order was placed, or local date of the original order placed for which there is a refund",Local timestamp for when order was accepted by the merchant ,Uber membership status of the customer who placed the order,Total item sales excl tax ,Tax on total item sales in the order,Total item sales incl tax,Amount merchants are responsible for refunding customers when they report order errors (excl tax),Tax Refund On Sales,Amount merchants are responsible for refunding customers when they report order errors (incl tax),Adjustments merchants made to the price of items once an order has been placed (excl tax),Tax on in-store price adjustments,Merchant promotions applied to the order,Tax on merchant promotions applied to the order,Merchant promotions applied to the delivery fee charged to Eaters,Tax on merchant promotions applied to the delivery fee charged to Eaters,Offer Redemption Fee,Fee charged to eater by the merchant for the packaging material,Amount merchant charges Uber for co-funded marketing campaigns. Varies depending on co-funding % for the campaign.,"Total item sales including promotions, adjustments and bag fee incl tax where applicable","The fee Uber charges to merchant to make their store visible to potential customers, provide support and other related services ( %fee is applied to sub-total before discounts) ",The % Marketplace fee Uber charges merchant,Tax on Marketplace fee charged to merchant by Uber,Fixed Fee charged to merchant by Uber for using Ubers delivery network ,Tax on delivery network fee charged to merchant by Uber,A flat % fee on the basket charged by Uber to merchants for processing every order ,"Where delivery fee is greater than cost of delivery, this is equal to (delivery fee minus the cost of delivery) where applicable",Tax on service fee charged by merchants to eaters,"For merchants who perform their own delivery, the tip from the Eater to the courier",Amount directed to Merchant Capital payments,Description of adhoc one-time payments or charges from Uber to the merchant,"All miscellaneous payments like Ad payments, Ad credits etc. inclusive of tax",Tax on Uber funded promotions applied to the order,Sales tax Uber Eats is required to pay in jurisdictions with marketplace facilitator laws ,"As required by the IRS, a % withheld from payments if the EIN/TIN is missing or does not match IRS records.",Total payout associated with this order (negative if associated with a refund)  Sales + Adjustments - promotions + marketing adjustment + Bag fee + delivery fee (self delivery) + tips (self-delivery) - marketplace fee +/- Other payments - marketplace facilitator tax  (incl tax where applicable),Date payout initiated by Uber (generally the Monday following the prior week),Amount commercially agreed to between Merchant and Uber added on a per item basis and charged to the Eater on Merchant’s behalf	,Applicable taxes due on the Markup Amount,"This is the ID from retailers, used to identify retailer loyalty customers",The reference ID for identifying the payout related to this order in the Payout Summary Report CSV
Store Name,Store ID,Order ID,Workflow ID,Dining Mode,Payment Mode,Order Channel,Order Status,Order Date,Order Accept Time,Customer Uber-Membership Status,Sales (excl. tax),Tax on Sales,Sales (incl. tax),Order Error Adjustments,Tax on Order Error Adjustments,Order Error Adjustments (incl. tax),Price adjustments (excl. tax),Tax on Price Adjustments,Offers on items (incl. tax),Tax On Offers on items,Delivery Offer Redemptions (incl. tax),Tax On Delivery Offer Redemptions,Offer Redemption Fee,Bag Fee,Marketing Adjustment,Total Sales after Adjustments (incl tax),Marketplace Fee,Marketplace fee %,Tax on Marketplace Fee,Delivery Network Fee,Tax on Delivery Network Fee,Order Processing Fee,Delivery Fee,Tax On Delivery Fee,Tips,Capital payments,Other payments description,Other payments,"Marketplace Facilitator Tax Adjustment
",Marketplace Facilitator Tax,Backup Withholding Tax,Total payout ,Payout Date,Markup Amount,Markup Tax,Retailer Loyalty ID,Payout reference ID
Capriotti's Sandwich Shop (IA069),69|15645,,,,,UberEats Unknown,,9/8/25,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Ad Spend,-2.64,,0,0,-2.64,9/15/25,0,0,,DO9651YUFWJSJIW
Capriotti's Sandwich Shop (IA069),69|15645,#CCAA3,771f0bba-8a07-4dd8-8e87-e254486ccaa3,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,9/8/25,6:58 PM,Uber One member,43.17,3.02,46.19,0,0,0,0,0,0,0,0,0,0,0,0,46.19,-9.07,21,0,0,0,0,0,0,0,0,,0,,-3.02,0,34.1,9/15/25,0,0,,DO9651YUFWJSJIW
Capriotti's Sandwich Shop (IA069),69|15645,,,,,UberEats Unknown,,9/9/25,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Ad Spend,-6.46,,0,0,-6.46,9/15/25,0,0,,DO9651YUFWJSJIW
Capriotti's Sandwich Shop (IA069),69|15645,#FFEA1,e24efb04-d469-4b29-8e1c-f668367ffea1,Delivery - Partner Using Uber App,Digital,UberEats Android,Completed,9/9/25,2:28 PM,Non-member,27.57,1.94,29.51,0,0,0,0,0,0,0,0,0,0,0,0,29.51,-4.96,18,0,0,0,0,0,0,0,0,,0,,-1.94,0,22.61,9/15/25,0,0,,DO9651YUFWJSJIW
Capriotti's Sandwich Shop (IA069),69|15645,,,,,UberEats Unknown,,9/10/25,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Ad Spend,-1.82,,0,0,-1.82,9/15/25,0,0,,DO9651YUFWJSJIW
Capriotti's Sandwich Shop (IA069),69|15645,#0B1B7,2b74760c-564c-4704-8b61-89b313a0b1b7,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,9/10/25,11:00 AM,Non-member,51.74,3.62,55.36,0,0,0,0,0,0,0,0,0,0,0,0,55.36,-9.31,18,0,0,0,0,0,0,0,0,,0,,-3.62,0,42.43,9/15/25,0,0,,DO9651YUFWJSJIW
Capriotti's Sandwich Shop (IA069),69|15645,#E0DF4,ced69318-dd02-4324-9d32-8869c9ee0df4,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,9/10/25,5:27 PM,Non-member,37.54,3.2,40.74,0,0,0,0,0,0,0,0,0,0,0,0,40.74,-6.76,18,0,0,0,0,0,0,0,0,,0,,-3.2,0,30.78,9/15/25,0,0,,DO9651YUFWJSJIW
Capriotti's Sandwich Shop (IA069),69|15645,#36885,302c5667-9eb6-4fb9-b02f-94f167a36885,Delivery - Partner Using Uber App,Digital,UberEats Web,Completed,9/10/25,6:10 PM,Non-member,45.16,3.16,48.32,0,0,0,0,0,0,0,0,0,0,0,0,48.32,-8.13,18,0,0,0,0,0,0,0,0,,0,,-3.16,0,37.03,9/15/25,0,0,,DO9651YUFWJSJIW
Capriotti's Sandwich Shop (IA069),69|15645,,,,,UberEats Unknown,,9/11/25,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Ad Spend,-3.25,,0,0,-3.25,9/15/25,0,0,,DO9651YUFWJSJIW
