Date,Campaign Id,Campaign Name,Campaign Type,Campaign Start Date,Campaign End Date,Budget Type,Budget,Currency,Ad Group Id,Ad Group Name,Targeting Audience,Daypart Targeted,Bid Strategy,Bid,Store Name,Store Id,Clicks,Orders,Sales,Marketing Fees | (Including any applicable taxes),DoorDash Marketing Credit,Third-party Contribution,Average Order Value,Average CPA,ROAS,New Cx Acquired,Lapsed Cx Acquired,Existing Cx Acquired,Total Cx Acquired,New DashPass Cx Acquired,Existing DashPass Cx Acquired,Lapsed DashPass Cx Acquired,Total DashPass Cx Acquired,Impression based orders,Impression based sales
2025-10-12,945efc92-6e78-49d9-bc21-8ef1d2471fc4,Ads - Caps <> Spice,sponsored listing,2025-09-19,None,Weekly,5000.00,USD,97f406ae-2452-4364-9047-70a79ea745a1,All Customers - Afternoon,all,custom,MANUAL_SET_BIDDING,3.00,East Craig Road,75739,1,0,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00
2025-10-12,945efc92-6e78-49d9-bc21-8ef1d2471fc4,Ads - Caps <> Spice,sponsored listing,2025-09-19,None,Weekly,5000.00,USD,97f406ae-2452-4364-9047-70a79ea745a1,All Customers - Afternoon,all,custom,MANUAL_SET_BIDDING,3.00,Riverwind Dr,34516256,0,0,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00
2025-10-12,945efc92-6e78-49d9-bc21-8ef1d2471fc4,Ads - Caps <> Spice,sponsored listing,2025-09-19,None,Weekly,5000.00,USD,337ccf4e-d3be-4d44-8fea-6f7bb3304b89,All Customers - Afternoon,all,custom,MANUAL_SET_BIDDING,3.00,Byers Dr,23186665,0,0,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00
2025-10-12,945efc92-6e78-49d9-bc21-8ef1d2471fc4,Ads - Caps <> Spice,sponsored listing,2025-09-19,None,Weekly,5000.00,USD,97f406ae-2452-4364-9047-70a79ea745a1,All Customers - Afternoon,all,custom,MANUAL_SET_BIDDING,3.00,Cheyenne Rd,2375637,0,0,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00
2025-10-12,945efc92-6e78-49d9-bc21-8ef1d2471fc4,Ads - Caps <> Spice,sponsored listing,2025-09-19,None,Weekly,5000.00,USD,337ccf4e-d3be-4d44-8fea-6f7bb3304b89,All Customers - Afternoon,all,custom,MANUAL_SET_BIDDING,3.00,Bidwell - Folsom,26234909,7,4,109.59,12.00,-0.00,-0.00,27.40,3.00,9.13,0,0,4,4,0,4,0,4,5,173.53
2025-10-12,945efc92-6e78-49d9-bc21-8ef1d2471fc4,Ads - Caps <> Spice,sponsored listing,2025-09-19,None,Weekly,5000.00,USD,337ccf4e-d3be-4d44-8fea-6f7bb3304b89,All Customers - Afternoon,all,custom,MANUAL_SET_BIDDING,3.00,Overland Park,24110474,15,6,157.72,18.00,-0.00,-0.00,26.29,3.00,8.76,2,2,2,6,1,2,1,4,8,209.48
2025-10-12,945efc92-6e78-49d9-bc21-8ef1d2471fc4,Ads - Caps <> Spice,sponsored listing,2025-09-19,None,Weekly,5000.00,USD,337ccf4e-d3be-4d44-8fea-6f7bb3304b89,All Customers - Afternoon,all,custom,MANUAL_SET_BIDDING,3.00,Roanoke,24637171,10,3,78.90,9.00,-0.00,-0.00,26.30,3.00,8.77,0,0,3,3,0,3,0,3,3,78.90
2025-10-12,945efc92-6e78-49d9-bc21-8ef1d2471fc4,Ads - Caps <> Spice,sponsored listing,2025-09-19,None,Weekly,5000.00,USD,337ccf4e-d3be-4d44-8fea-6f7bb3304b89,All Customers - Afternoon,all,custom,MANUAL_SET_BIDDING,3.00,Moreno Beach Drive,23085788,3,2,59.36,6.00,-0.00,-0.00,29.68,3.00,9.89,0,0,2,2,0,2,0,2,2,59.36
2025-10-12,945efc92-6e78-49d9-bc21-8ef1d2471fc4,Ads - Caps <> Spice,sponsored listing,2025-09-19,None,Weekly,5000.00,USD,337ccf4e-d3be-4d44-8fea-6f7bb3304b89,All Customers - Afternoon,all,custom,MANUAL_SET_BIDDING,3.00,Collier Pkwy-Lutz,23057623,3,2,65.73,6.00,-0.00,-0.00,32.87,3.00,10.96,0,1,1,2,0,1,0,1,4,131.68
2025-10-12,945efc92-6e78-49d9-bc21-8ef1d2471fc4,Ads - Caps <> Spice,sponsored listing,2025-09-19,None,Weekly,5000.00,USD,97f406ae-2452-4364-9047-70a79ea745a1,All Customers - Afternoon,all,custom,MANUAL_SET_BIDDING,3.00,Maryland Pkwy,1007892,0,0,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0.00
