order_channel,order_number,transaction_date,transaction_time_local,order_time_zone,grubhub_store_id,store_number,store_name,street_address,city,state,postal_code,transaction_type,fulfillment_type,gh_plus_customer,subtotal,subtotal_sales_tax,subtotal_sales_tax_exemption,self_delivery_charge,self_delivery_charge_tax,self_delivery_charge_tax_exemption,merchant_service_fee,merchant_service_fee_tax,merchant_service_fee_tax_exemption,merchant_flexible_fee_bag_fee,merchant_flexible_fee_bag_fee_tax,merchant_flexible_fee_bag_fee_tax_exemption,merchant_flexible_fee_pif_fee,merchant_flexible_fee_pif_fee_tax,merchant_flexible_fee_pif_fee_tax_exemption,tip,merchant_total,commission,delivery_commission,gh_plus_commission,processing_fee,withheld_tax,withheld_tax_exemption,merchant_funded_promotion,merchant_funded_loyalty,merchant_net_total,transaction_note,transaction_id
Marketplace,253231430769110,2025-10-21,06:12:00 PM,Pacific/Honolulu,6358344,HI100392,Capriotti's Sandwich Shop,4210 Waialae Avenue unit 107,Honolulu,HI,96816,Prepaid Order,Grubhub Delivery,non GH+,38.88,1.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.63,-3.89,-3.89,0.00,0.00,-1.75,0.00,0.00,0.00,31.10,,BwEAAAAAAGEFSKyBcHCu9RHwsHEJ1lA-TkE
Marketplace,614531433674975,2025-10-22,12:08:00 PM,America/Los_Angeles,9232784,NV900467,Capriotti's Sandwich Shop,142 Los Altos Pkwy,Sparks,NV,89436,Prepaid Order,Grubhub Delivery,GH+,17.49,1.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.94,-1.75,-1.75,0.00,0.00,-1.45,0.00,0.00,0.00,13.99,,BwEAAAAAAIzhkJtr-dCvcxHwudFpBKg3sHA
Marketplace,80831466441161,2025-10-25,02:59:00 PM,America/Phoenix,7804952,AZ900482,Capriotti's Sandwich Shop,1830 E Broadway Blvd,Tucson,AZ,85719,Prepaid Order,Grubhub Delivery,GH+,29.98,2.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.33,-3.00,-3.00,0.00,0.00,0.00,0.00,-3.00,0.00,23.33,,BwEAAAAAAHcYGEjk7tCx5xHwrtF5Y2oiIFw
Marketplace,537031419461627,2025-10-20,05:04:00 PM,America/Denver,3293177,CO100245,Capriotti's Sandwich Shop,7939 E Arapahoe Rd,Greenwood Village,CO,80112,Prepaid Order,Grubhub Delivery,GH+,69.49,5.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,74.53,-6.95,-6.95,0.00,0.00,-5.04,0.00,0.00,0.00,55.59,,BwEAAAAAADI_-UyfEvCt_RHwkvHH2JzbMuo
Marketplace,270031428508737,2025-10-21,06:52:00 PM,America/New_York,815979,GA141,Capriotti's Sandwich Shop,777 Townpark Ln NW Ste 104,Kennesaw,GA,30144,Prepaid Order,Grubhub Delivery,GH+,28.38,1.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.08,-2.84,-2.84,0.00,0.00,-1.70,0.00,0.00,0.00,22.70,,BwEAAAAAAAxza7VdU9CuyBHwk9GTZPtuTXU
Marketplace,132631455622253,2025-10-24,12:04:00 PM,America/New_York,1044845,DE009,Capriotti's Sandwich Shop,430 Eden Cir,Bear,DE,19701,Prepaid Order,Grubhub Delivery,GH+,16.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.29,-1.63,-1.63,0.00,0.00,0.00,0.00,0.00,0.00,13.03,,BwEAAAAAAA_xbZTUH0Cw7hHwn0HN_hWU_I4
Marketplace,437031433499485,2025-10-22,01:21:00 PM,America/New_York,12040168,Marlton,Capriotti's Sandwich Shop,1041 NJ-73,Evesham,NJ,8053,Prepaid Order,Grubhub Delivery,GH+,14.39,0.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.34,,BwEAAAAAALe36P4bhyCvZRHwhyGHnvI65Kk
Marketplace,506231411867953,2025-10-20,10:45:00 AM,America/New_York,3217317,PA100176,Capriotti's Sandwich Shop,5585 Hamilton Blvd,Allentown,PA,18106,Prepaid Order,Grubhub Delivery,GH+,34.18,2.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.23,-3.42,-3.42,0.00,0.00,-2.05,0.00,0.00,0.00,27.34,,BwEAAAAAADEXpVgz6-KtvBHwq-N7vJimHGQ
Marketplace,506231411867953,2025-10-20,10:45:00 AM,America/New_York,3217317,PA100176,Capriotti's Sandwich Shop,5585 Hamilton Blvd,Allentown,PA,18106,Cancellation,Grubhub Delivery,GH+,-34.18,-2.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-36.23,3.42,3.42,0.00,0.00,2.05,0.00,0.00,0.00,-27.34,,CQMAAAAAADEXpVgz6-KtvBHwq-N7vJimHGQAAAAB
Marketplace,871631463309031,2025-10-25,02:11:58 PM,America/New_York,3293431,NY100268,Capriotti's Sandwich Shop,373 Smithtown Bypass,Hauppauge,NY,11788,Prepaid Order,Pick-Up,GH+,14.78,1.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.07,-1.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.59,,BwEAAAAAADJA96LklyCxzBHwlyHzMMLNfY0
