"order_channel","order_number","transaction_date","transaction_time_local","order_time_zone","grubhub_store_id","store_number","store_name","street_address","city","state","postal_code","transaction_type","fulfillment_type","gh_plus_customer","subtotal","subtotal_sales_tax","subtotal_sales_tax_exemption","self_delivery_charge","self_delivery_charge_tax","self_delivery_charge_tax_exemption","merchant_service_fee","merchant_service_fee_tax","merchant_service_fee_tax_exemption","merchant_flexible_fee_bag_fee","merchant_flexible_fee_bag_fee_tax","merchant_flexible_fee_bag_fee_tax_exemption","merchant_flexible_fee_pif_fee","merchant_flexible_fee_pif_fee_tax","merchant_flexible_fee_pif_fee_tax_exemption","tip","merchant_total","commission","delivery_commission","gh_plus_commission","processing_fee","withheld_tax","withheld_tax_exemption","merchant_funded_promotion","merchant_funded_loyalty","merchant_net_total","transaction_note","transaction_id"
"Marketplace","930931290344769","2025-10-07","07:04:00 PM","America/Los_Angeles","1026776","NV040","Capriotti's Sandwich Shop","90 S Stephanie St  ","Henderson","NV","89012","Prepaid Order","Grubhub Delivery","GH+","31.28","2.62","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","33.90","-3.13","-3.13","0.00","0.00","-2.62","0.00","0.00","0.00","25.02",,"BwEAAAAAAA-q2HOZTDCj5RHwjDFTAgTT-bc"
"Marketplace","663131277775837","2025-10-06","11:27:00 AM","America/Los_Angeles","695584","NV139","Capriotti's Sandwich Shop","7540 Oso Blanca Rd ","Las Vegas","NV","89149","Prepaid Order","Grubhub Delivery","GH+","36.88","3.09","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","39.97","-3.69","-3.69","0.00","0.00","-3.09","0.00","0.00","0.00","29.50",,"BwEAAAAAAAqdIBhUrQCi3RHwrQHxx5PJdlY"
"Marketplace","593631288681511","2025-10-07","10:30:00 AM","America/Los_Angeles","7357064","CA 171","Capriotti's Sandwich Shop","4060 Douglas Blvd  ","Granite Bay","CA","95746","Prepaid Order","Grubhub Delivery","non GH+","59.58","4.32","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","63.90","-5.96","-5.96","0.00","0.00","0.00","0.00","0.00","0.00","51.98",,"BwEAAAAAAHBCiHTiSsCjlBHwisGBm8igfyc"
"Marketplace","997931309868490","2025-10-09","12:47:00 PM","America/New_York","1245976","IN144","Capriotti's Sandwich Shop","5320 E 82nd St Ste 105  ","Indianapolis","IN","46250","Prepaid Order","Grubhub Delivery","GH+","15.59","1.40","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","16.99","-1.56","-1.56","0.00","0.00","-1.40","0.00","0.00","0.00","12.47",,"BwEAAAAAABMDGOoj9YClKhHwtYHrI35vQLM"
"Marketplace","122731315202454","2025-10-10","02:45:00 PM","America/New_York","2765419","DE004","Capriotti's Sandwich Shop","2124 Silverside Rd  ","Wilmington","DE","19810","Prepaid Order","Grubhub Delivery","GH+","33.77","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","33.77","-3.38","-3.38","0.00","0.00","0.00","0.00","-3.00","0.00","24.01",,"BwEAAAAAACoya_Mk2kCl8xHwmkGRawEEM9c"
"Marketplace","169731298681871","2025-10-08","11:57:00 AM","America/New_York","1245976","IN144","Capriotti's Sandwich Shop","5320 E 82nd St Ste 105  ","Indianapolis","IN","46250","Prepaid Order","Grubhub Delivery","GH+","15.59","1.40","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","16.99","-1.56","-1.56","0.00","0.00","-1.40","0.00","0.00","0.00","12.47",,"BwEAAAAAABMDGC5e9oKkWxHwtoOzxK3GAsI"
"Marketplace","000331337580025","2025-10-12","06:02:00 PM","America/New_York","2765419","DE004","Capriotti's Sandwich Shop","2124 Silverside Rd  ","Wilmington","DE","19810","Prepaid Order","Grubhub Delivery","GH+","43.65","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","43.65","-4.37","-4.37","0.00","0.00","0.00","0.00","-5.00","0.00","29.91",,"BwEAAAAAACoya5I-CaCnrxHwiaH1BXMFPoU"
"Marketplace","474631315119679","2025-10-09","06:21:00 PM","America/Los_Angeles","1251336","CA164","Capriotti's Sandwich Shop","9171 De Soto Ave Ste E  ","Chatsworth","CA","91311","Order Adjustment","Grubhub Delivery","GH+","0.00","1.28","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.28","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.28","Tax Adjustment","CQMAAAAAABMYCHR7ypClchHwipHtU9xijV8AAAAB"
"Marketplace","474631315119679","2025-10-09","06:21:00 PM","America/Los_Angeles","1251336","CA164","Capriotti's Sandwich Shop","9171 De Soto Ave Ste E  ","Chatsworth","CA","91311","Prepaid Order","Grubhub Delivery","GH+","41.37","2.75","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","44.12","-4.14","-4.14","0.00","0.00","0.00","0.00","-12.41","0.00","23.43",,"BwEAAAAAABMYCHR7ypClchHwipHtU9xijV8"
"Marketplace","719731317825514","2025-10-10","04:55:00 PM","America/New_York","3245958",,"Capriotti's Sandwich Shop","5600 Concord Pike  ","Wilmington","DE","19803","Prepaid Order","Grubhub Delivery","GH+","23.38","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","23.38","-2.34","-2.34","0.00","0.00","0.00","0.00","-5.00","0.00","13.70",,"BwEAAAAAADGHhi4Ny4CmFxHwi4F1EVteeqE"
