BEGIN COPY
grubhub_store_id,store_number,store_name,street_address,city,state,postal_code,order_time_zone
10412264,AL443,Capriotti's Sandwich Shop,2003 Whitesburg Dr,Huntsville,AL,35801,America/Chicago
7993648,443,Capriotti's Sandwich Shop,461 John Henry Way,Madison,AL,35758,America/Chicago
2693236,AR196,Capriotti's Sandwich Shop,1406 S Walton Blvd,Bentonville,AR,72712,America/Chicago
7504656,71,Capriotti's Sandwich Shop,3510 E Baseline Rd,Mesa,AZ,85204,America/Phoenix
280851,AZ104,Capriotti's Sandwich Shop,4017 N Scottsdale Rd Ste 100,Scottsdale,AZ,85251,America/Phoenix
280862,AZ081,Capriotti's Sandwich Shop,15227 N 87th St Ste 107,Scottsdale,AZ,85260,America/Phoenix
7804952,482,Capriotti's Sandwich Shop,1830 E Broadway Blvd,Tucson,AZ,85719,America/Phoenix
1251336,CA164,Capriotti's Sandwich Shop,9171 De Soto Ave Ste E,Chatsworth,CA,91311,America/Los_Angeles
2745321,CA084,Capriotti's Sandwich Shop,5495 Sepulveda Blvd Ste H,Culver City,CA,90230,America/Los_Angeles
3049327,,Capriotti's Sandwich Shop,14063 Limonite Ave,Eastvale,CA,92880,America/Los_Angeles
7357056,Folsom East Bidwell,Capriotti's Sandwich Shop,3230 E Bidwell St,Folsom,CA,95630,America/Los_Angeles
2598895,CA197,Capriotti's Sandwich Shop,5058 N Palm Ave,Fresno,CA,93704,America/Los_Angeles
5452752,,Capriotti's Sandwich Shop,2888 E Shepherd Ave,Fresno,CA,93720,America/Los_Angeles
7357064,CA 171,Capriotti's Sandwich Shop,4060 Douglas Blvd,Granite Bay,CA,95746,America/Los_Angeles
11352080,CA100265,Capriotti's Sandwich Shop,12831 Moreno Beach Dr,Moreno Valley,CA,92555,America/Los_Angeles
8229544,425,Capriotti's Sandwich Shop,920 N Haven Ave,Ontario,CA,91764,America/Los_Angeles
8995856,377,Capriotti's Sandwich Shop,4041 Sunrise Blvd,Rancho Cordova,CA,95742,America/Los_Angeles
10261416,451 Rancho Mirage,Capriotti's Sandwich Shop,36101 Bob Hope Dr,Rancho Mirage,CA,92270,America/Los_Angeles
9713992,453,Capriotti's Sandwich Shop,9867 Magnolia Ave,Riverside,CA,92503,America/Los_Angeles
4438128,,Capriotti's Sandwich Shop,791 Foothill Blvd,San Luis Obispo,CA,93405,America/Los_Angeles
6924416,CA100455,Capriotti's Sandwich Shop,26889 Sierra Hwy,Santa Clarita,CA,91321,America/Los_Angeles
5895160,,Capriotti's Sandwich Shop,27630 The Old Rd Pad C,Valencia,CA,91355,America/Los_Angeles
9235576,236,Capriotti's Sandwich Shop,5715 Atrium Dr,Castle Rock,CO,80108,America/Denver
7574072,389,Capriotti's Sandwich Shop,1286 Interquest Pkwy,Colorado Springs,CO,80920,America/Denver
2876235,,Capriotti's Sandwich Shop,140 E Cheyenne Rd STE 110,Colorado Springs,CO,80906,America/Denver
5896776,,Capriotti's Sandwich Shop,5856 Barnes Rd,Colorado Springs,CO,80922,America/Denver
3293177,,Capriotti's Sandwich Shop,7939 E Arapahoe Rd,Greenwood Village,CO,80112,America/Denver
9234080,229,Capriotti's Sandwich Shop,1100 Sergeant Jon Stiles Dr,Highlands Ranch,CO,80129,America/Denver
9235568,326,Capriotti's Sandwich Shop,11153 S Parker Rd,Parker,CO,80134,America/Denver
11194832,Enfield,Capriotti's Sandwich Shop,190 Elm St,Enfield,CT,06082,America/New_York
1044845,DE009,Capriotti's Sandwich Shop,430 Eden Cir,Bear,DE,19701,America/New_York
2262704,DE007,Capriotti's Sandwich Shop,321 Independence Blvd,Dover,DE,19904,America/New_York
1947263,,Capriotti's Sandwich Shop,120 Lantana Dr,Hockessin,DE,19707,America/New_York
2262404,DE020,Capriotti's Sandwich Shop,684 N Dupont Blvd,Milford,DE,19963,America/New_York
3237659,,Capriotti's Sandwich Shop,25938 Plaza Drive,Millsboro,DE,19966,America/New_York
1290816,DE003,Capriotti's Sandwich Shop,250 E Main St Ste 241,Newark,DE,19711,America/New_York
1044849,,Capriotti's Sandwich Shop,4132 Ogletown Stanton Rd,Newark,DE,19713,America/New_York
1472076,DE025,Capriotti's Sandwich Shop,456 W Glenwood Ave,Smyrna,DE,19977,America/New_York
2765419,DE004,Capriotti's Sandwich Shop,2124 Silverside Rd,Wilmington,DE,19810,America/New_York
3245958,,Capriotti's Sandwich Shop,5600 Concord Pike,Wilmington,DE,19803,America/New_York
1472751,DE018,Capriotti's Sandwich Shop,4522 Kirkwood Hwy,Wilmington,DE,19808,America/New_York
1472659,DE001,Capriotti's Sandwich Shop,510 N Union St,Wilmington,DE,19805,America/New_York
1477229,,Capriotti's Sandwich Shop,708 West Basin Rd,Wilmington Manor,DE,19720,America/New_York
7364896,404,Capriotti's Sandwich Shop,7480 Cortez Rd W,Bradenton,FL,34209,America/New_York
3203833,,Capriotti's Sandwich Shop,1948 Collier Pkwy,Lutz,FL,33549,America/New_York
2875563,,Capriotti's Sandwich Shop,12267 State Road 54,Odessa,FL,33556,America/New_York
6190960,,Capriotti's Sandwich Shop,3817 Northdale Blvd,Tampa,FL,33618,America/New_York
815979,,Capriotti's Sandwich Shop,777 Townpark Ln NW Ste 104,Kennesaw,GA,30144,America/New_York
6358344,,Capriotti's Sandwich Shop,4210 Waialae Avenue unit 107,Honolulu,HI,96816,Pacific/Honolulu
3216399,,Capriotti's Sandwich Shop,4640 1st Ave SE,Cedar Rapids,IA,52402,America/Chicago
2289971,IA190,Capriotti's Sandwich Shop,13101 University Ave,Clive,IA,50325,America/Chicago
1391102,IA069,Capriotti's Sandwich Shop,3016 E 53rd St,Davenport,IA,52807,America/Chicago
6102728,,Capriotti's Sandwich Shop,2565 E 17th St. Suite #2,Ammon,ID,83406,America/Denver
3231314,,Capriotti's Sandwich Shop,305 W Appleway Ave,Coeur d'Alene,ID,83815,America/Los_Angeles
10773856,ID100461,Capriotti's Sandwich Shop,264 S Beck Rd,Post Falls,ID,83854,America/Los_Angeles
10478816,Star,Capriotti's Sandwich Shop,200 N Highbrook Wy,Star,ID,83669,America/Denver
10886048,Chicago,Capriotti's Sandwich Shop,850 W Superior St,Chicago,IL,60642,America/Chicago
3293327,12,Capriotti's Sandwich Shop,1730 W Fullerton Ave,Chicago,IL,60614,America/Chicago
7044336,CAP IL 206,Capriotti's Sandwich Shop Catering,1730 W Fullerton Ave,Chicago,IL,60614,America/Chicago
5200176,,Capriotti's Sandwich Shop,902 Roby Dr,Hammond,IN,46320,America/Chicago
1245976,IN144,Capriotti's Sandwich Shop,5320 E 82nd St Ste 105,Indianapolis,IN,46250,America/New_York
