Date,Campaign Id,Campaign Name,Campaign Type,Campaign Start Date,Campaign End Date,Budget Type,Budget,Ad Group Id,Ad Group Name,Daypart Targeted,Targeting Audience,Type of Promotion,Type of discount,Discount,Minimum Order Amount,Currency,Store Name,Store Id,Orders,Sales,Customer Discounts from Marketing | (Funded by you),Customer Discounts from Marketing | (Funded by DoorDash),Customer Discounts from Marketing | (Funded by a Third-party),Marketing Fees | (Including any applicable taxes),DoorDash Marketing Credit,Third-party Contribution,Average Order Value,Average cost of Order,ROAS,New Cx Acquired,Existing Cx Acquired,Lapsed Cx Acquired,Total Cx Acquired,New DashPass Cx Acquired,Existing DashPass Cx Acquired,Lapsed DashPass Cx Acquired,Total DashPass Cx Acquired
2025-10-12,02d2c45e-5b6f-4058-b05d-1fbcb475312e,"First order, 20% off 04/09/2025",promotion,2025-04-09,None,N/A,,,,,,,$ Off,0.00,0.00,USD,University Dr,29894178,1,21.58,4.32,0.00,0.00,0.99,-0.00,-0.00,21.58,5.31,4.06,1,0,0,1,0,0,0,0
2025-10-12,77e23ebd-6e10-4113-938c-bb55550710f5,Spice <> Capriotti's - Sep / Oct,promotion,2025-09-18,None,N/A,,ba37e4d8-36c4-4cbe-8c7d-f4d1379109bd,"Spend $15, Save $3 | Low price Sensitivity",day,all,Order Discount,$ Off,3.00,15.00,USD,"Marlton, NJ",35211042,3,149.34,9.00,0.00,0.00,2.97,-0.00,-0.00,49.78,3.99,12.48,2,1,0,3,1,1,0,2
2025-10-12,02d2c45e-5b6f-4058-b05d-1fbcb475312e,"First order, 20% off 04/09/2025",promotion,2025-04-09,None,N/A,,,,,,,$ Off,0.00,0.00,USD,Silverside Road,691182,1,16.89,3.38,0.00,0.00,0.99,-0.00,-0.00,16.89,4.37,3.86,1,0,0,1,1,0,0,1
2025-10-12,77e23ebd-6e10-4113-938c-bb55550710f5,Spice <> Capriotti's - Sep / Oct,promotion,2025-09-18,None,N/A,,43340528-e1b7-4f95-ab40-8dc92bf9c274,"Spend $35, Save $6 | High Price Sensitivity",day,all,Order Discount,$ Off,6.00,35.00,USD,West Basin Rd,575301,0,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0
2025-10-12,b2e42382-0262-4b42-bbf3-d1a2efa87346,Happy Hour discount 09/24/2024,promotion,2024-09-24,None,N/A,,,,,,,$ Off,0.00,0.00,USD,Townpark Lane,128721,5,104.72,31.13,0.00,0.00,4.95,-0.00,-0.00,20.94,7.22,2.90,3,2,0,5,2,2,0,4
2025-10-12,77e23ebd-6e10-4113-938c-bb55550710f5,Spice <> Capriotti's - Sep / Oct,promotion,2025-09-18,None,N/A,,d1d0b263-4918-4c81-8c97-630471e7185b,10% Happy Hour Discount - Medium Price Sensitivity,day,all,Order Discount,% Off,10.0%,25.00,USD,Jennersville Rd,433075,0,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0
2025-10-12,77e23ebd-6e10-4113-938c-bb55550710f5,Spice <> Capriotti's - Sep / Oct,promotion,2025-09-18,None,N/A,,f06f33c5-bff5-4bb3-8dda-6cedeb2e6fc1,10% Happy hour Discount - Min $30 | Low Price Sensitivity,day,all,Order Discount,% Off,7.0%,30.00,USD,Parker,24021312,2,70.93,4.97,0.00,0.00,1.98,-0.00,-0.00,35.47,3.48,10.21,0,1,1,2,0,1,1,2
2025-10-12,02d2c45e-5b6f-4058-b05d-1fbcb475312e,"First order, 20% off 04/09/2025",promotion,2025-04-09,None,N/A,,,,,,,$ Off,0.00,0.00,USD,Sahara & Las Vegas,75735,1,47.97,5.00,0.00,0.00,0.99,-0.00,-0.00,47.97,5.99,8.01,1,0,0,1,1,0,0,1
2025-10-12,77e23ebd-6e10-4113-938c-bb55550710f5,Spice <> Capriotti's - Sep / Oct,promotion,2025-09-18,None,N/A,,,,day,,,$ Off,0.00,0.00,USD,N Broad St,578662,0,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0
2025-10-12,77e23ebd-6e10-4113-938c-bb55550710f5,Spice <> Capriotti's - Sep / Oct,promotion,2025-09-18,None,N/A,,43340528-e1b7-4f95-ab40-8dc92bf9c274,"Spend $35, Save $6 | High Price Sensitivity",day,all,Order Discount,$ Off,6.00,35.00,USD,College Station,23349412,0,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0
