Store name as per Uber Eats manager,External store ID as per Uber Eats manager,Order ID as per Uber Eats manager,Unique ID to identify the order ,"The mode of order fulfillment whether it was delivery by courier via Uber network, delivery by merchant, Pick-up by customer or Dine-in",Mode of payment used for order payment,"The platform from which the customer ordered, (i.e. iOS, Android, Uber Eats Web)","Either: Completed (eater received food), Cancelled (order cancelled by eater or support), Refund (eater was refunded for order), or Unfulfilled (order was not able to be completed)","Local date the order was placed, or local date of the original order placed for which there is a refund",Local timestamp for when order was accepted by the merchant ,Uber membership status of the customer who placed the order,Total item sales excl tax ,Tax on total item sales in the order,Total item sales incl tax,Amount merchants are responsible for refunding customers when they report order errors (excl tax),Tax Refund On Sales,Amount merchants are responsible for refunding customers when they report order errors (incl tax),Adjustments merchants made to the price of items once an order has been placed (excl tax),Tax on in-store price adjustments,Merchant promotions applied to the order,Tax on merchant promotions applied to the order,Merchant promotions applied to the delivery fee charged to Eaters,Tax on merchant promotions applied to the delivery fee charged to Eaters,Offer Redemption Fee,Fee charged to eater by the merchant for the packaging material,Amount merchant charges Uber for co-funded marketing campaigns. Varies depending on co-funding % for the campaign.,"Total item sales including promotions, adjustments and bag fee incl tax where applicable","The fee Uber charges to merchant to make their store visible to potential customers, provide support and other related services ( %fee is applied to sub-total before discounts) ",The % Marketplace fee Uber charges merchant,Tax on Marketplace fee charged to merchant by Uber,Fixed Fee charged to merchant by Uber for using Ubers delivery network ,Tax on delivery network fee charged to merchant by Uber,A flat % fee on the basket charged by Uber to merchants for processing every order ,"Where delivery fee is greater than cost of delivery, this is equal to (delivery fee minus the cost of delivery) where applicable",Tax on service fee charged by merchants to eaters,"For merchants who perform their own delivery, the tip from the Eater to the courier",Amount directed to Merchant Capital payments,Description of adhoc one-time payments or charges from Uber to the merchant,"All miscellaneous payments like Ad payments, Ad credits etc. inclusive of tax",Sales tax Uber Eats is required to pay in jurisdictions with marketplace facilitator laws ,"As required by the IRS, a % withheld from payments if the EIN/TIN is missing or does not match IRS records.",Total payout associated with this order (negative if associated with a refund)  Sales + Adjustments - promotions + marketing adjustment + Bag fee + delivery fee (self delivery) + tips (self-delivery) - marketplace fee +/- Other payments - marketplace facilitator tax  (incl tax where applicable),Date payout initiated by Uber (generally the Monday following the prior week),Amount commercially agreed to between Merchant and Uber added on a per item basis and charged to the Eater on Merchant’s behalf	,Applicable taxes due on the Markup Amount,"This is the ID from retailers, used to identify retailer loyalty customers",The reference ID for identifying the payout related to this order in the Payout Summary Report CSV
Store Name,Store ID,Order ID,Workflow ID,Dining Mode,Payment Mode,Order Channel,Order Status,Order Date,Order Accept Time,Customer Uber-Membership Status,Sales (excl. tax),Tax on Sales,Sales (incl. tax),Order Error Adjustments,Tax on Order Error Adjustments,Order Error Adjustments (incl. tax),Price adjustments (excl. tax),Tax on Price Adjustments,Offers on items (incl. tax),Tax On Offers on items,Delivery Offer Redemptions (incl. tax),Tax On Delivery Offer Redemptions,Offer Redemption Fee,Bag Fee,Marketing Adjustment,Total Sales after Adjustments (incl tax),Marketplace Fee,Marketplace fee %,Tax on Marketplace Fee,Delivery Network Fee,Tax on Delivery Network Fee,Order Processing Fee,Delivery Fee,Tax On Delivery Fee,Tips,Capital payments,Other payments description,Other payments,Marketplace Facilitator Tax,Backup Withholding Tax,Total payout ,Payout Date,Markup Amount,Markup Tax,Retailer Loyalty ID,Payout reference ID
Capriotti's Sandwich Shop (IA069),69|15645,#F04EE,90f309f3-cecf-4e09-8103-a056a70f04ee,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,10/20/25,6:24 PM,Non-member,37.45,2.63,40.08,0,0,0,0,0,0,0,0,0,0,0,0,40.08,-6.74,18,0,0,0,0,0,0,0,0,,0,-2.63,0,30.71,,0,0,,
Capriotti's Sandwich Shop (IA069),69|15645,#FD333,f3d0ed0b-096c-43ac-9a3f-31040defd333,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,10/20/25,6:27 PM,Uber One member,23.38,1.63,25.01,0,0,0,0,0,0,0,0,0,0,0,0,25.01,-4.91,21,0,0,0,0,0,0,0,0,,0,-1.63,0,18.47,,0,0,,
Capriotti's Sandwich Shop (IA069),69|15645,#BD895,2d3aa59e-7c10-4286-a88f-243da59bd895,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,10/20/25,7:10 PM,Uber One member,38.78,2.72,41.5,0,0,0,0,0,0,0,0,0,0,0,0,41.5,-8.14,21,0,0,0,0,0,0,0,0,,0,-2.72,0,30.64,,0,0,,
Capriotti's Sandwich Shop (IA069),69|15645,,,,,UberEats Unknown,,10/21/25,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Ad Spend,-0.75,0,0,-0.75,,0,0,,
Capriotti's Sandwich Shop (IA069),69|15645,,,,,UberEats Unknown,,10/22/25,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Ad Spend,-0.36,0,0,-0.36,,0,0,,
Capriotti's Sandwich Shop (IA069),69|15645,#AFBD8,f44b4c5f-35c1-49bb-8f13-d157341afbd8,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,10/22/25,1:20 PM,Non-member,13.79,0.97,14.76,0,0,0,0,0,0,0,0,0,0,0,0,14.76,-2.48,18,0,0,0,0,0,0,0,0,,0,-0.97,0,11.31,,0,0,,
Capriotti's Sandwich Shop (IA069),69|15645,#B42E8,1ebfa16d-73f6-43ad-bfdf-6461dd4b42e8,Delivery - Partner Using Uber App,Digital,UberEats Web,Completed,10/23/25,3:33 PM,Uber One member,17.49,1.49,18.98,0,0,0,0,0,0,0,0,0,0,0,0,18.98,-3.67,21,0,0,0,0,0,0,0,0,,0,-1.49,0,13.82,,0,0,,
Capriotti's Sandwich Shop (IA069),69|15645,#8A274,317714c5-ab7a-4bd8-91ec-8a560bf8a274,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,10/23/25,6:13 PM,Non-member,42.15,3.58,45.73,0,0,0,0,0,0,0,0,0,0,0,0,45.73,-7.59,18,0,0,0,0,0,0,0,0,,0,-3.58,0,34.56,,0,0,,
Capriotti's Sandwich Shop (IA069),69|15645,#45683,26576c9a-5a45-48cf-9e71-6c1a9d645683,Delivery - Partner Using Uber App,Digital,UberEats Android,Completed,10/23/25,6:48 PM,Uber One member,41.37,3.51,44.88,0,0,0,0,0,0,0,0,0,0,0,0,44.88,-8.69,21,0,0,0,0,0,0,0,0,,0,-3.51,0,32.68,,0,0,,
