Store name as per Uber Eats manager,External store ID as per Uber Eats manager,Order ID as per Uber Eats manager,Unique ID to identify the order ,"The mode of order fulfillment whether it was delivery by courier via Uber network, delivery by merchant, Pick-up by customer or Dine-in",Mode of payment used for order payment,"The platform from which the customer ordered, (i.e. iOS, Android, Uber Eats Web)","Either: Completed (eater received food), Cancelled (order cancelled by eater or support), Refund (eater was refunded for order), or Unfulfilled (order was not able to be completed)","Local date the order was placed, or local date of the original order placed for which there is a refund",Local timestamp for when order was accepted by the merchant ,Uber membership status of the customer who placed the order,Total item sales excl tax ,Tax on total item sales in the order,Total item sales incl tax,Amount merchants are responsible for refunding customers when they report order errors (excl tax),Tax Refund On Sales,Amount merchants are responsible for refunding customers when they report order errors (incl tax),Adjustments merchants made to the price of items once an order has been placed (excl tax),Tax on in-store price adjustments,Merchant promotions applied to the order,Tax on merchant promotions applied to the order,Merchant promotions applied to the delivery fee charged to Eaters,Tax on merchant promotions applied to the delivery fee charged to Eaters,Offer Redemption Fee,Fee charged to eater by the merchant for the packaging material,Amount merchant charges Uber for co-funded marketing campaigns. Varies depending on co-funding % for the campaign.,"Total item sales including promotions, adjustments and bag fee incl tax where applicable","The fee Uber charges to merchant to make their store visible to potential customers, provide support and other related services ( %fee is applied to sub-total before discounts) ",The % Marketplace fee Uber charges merchant,Tax on Marketplace fee charged to merchant by Uber,Fixed Fee charged to merchant by Uber for using Ubers delivery network ,Tax on delivery network fee charged to merchant by Uber,A flat % fee on the basket charged by Uber to merchants for processing every order ,"Where delivery fee is greater than cost of delivery, this is equal to (delivery fee minus the cost of delivery) where applicable",Tax on service fee charged by merchants to eaters,"For merchants who perform their own delivery, the tip from the Eater to the courier",Amount directed to Merchant Capital payments,Description of adhoc one-time payments or charges from Uber to the merchant,"All miscellaneous payments like Ad payments, Ad credits etc. inclusive of tax",Tax on Uber funded promotions applied to the order,Sales tax Uber Eats is required to pay in jurisdictions with marketplace facilitator laws ,"As required by the IRS, a % withheld from payments if the EIN/TIN is missing or does not match IRS records.",Total payout associated with this order (negative if associated with a refund)  Sales + Adjustments - promotions + marketing adjustment + Bag fee + delivery fee (self delivery) + tips (self-delivery) - marketplace fee +/- Other payments - marketplace facilitator tax  (incl tax where applicable),Date payout initiated by Uber (generally the Monday following the prior week),Amount commercially agreed to between Merchant and Uber added on a per item basis and charged to the Eater on Merchant’s behalf	,Applicable taxes due on the Markup Amount,"This is the ID from retailers, used to identify retailer loyalty customers",The reference ID for identifying the payout related to this order in the Payout Summary Report CSV
Store Name,Store ID,Order ID,Workflow ID,Dining Mode,Payment Mode,Order Channel,Order Status,Order Date,Order Accept Time,Customer Uber-Membership Status,Sales (excl. tax),Tax on Sales,Sales (incl. tax),Order Error Adjustments,Tax on Order Error Adjustments,Order Error Adjustments (incl. tax),Price adjustments (excl. tax),Tax on Price Adjustments,Offers on items (incl. tax),Tax On Offers on items,Delivery Offer Redemptions (incl. tax),Tax On Delivery Offer Redemptions,Offer Redemption Fee,Bag Fee,Marketing Adjustment,Total Sales after Adjustments (incl tax),Marketplace Fee,Marketplace fee %,Tax on Marketplace Fee,Delivery Network Fee,Tax on Delivery Network Fee,Order Processing Fee,Delivery Fee,Tax On Delivery Fee,Tips,Capital payments,Other payments description,Other payments,"Marketplace Facilitator Tax Adjustment
",Marketplace Facilitator Tax,Backup Withholding Tax,Total payout ,Payout Date,Markup Amount,Markup Tax,Retailer Loyalty ID,Payout reference ID
Teleferic Barcelona (Los Angeles),,,,,,UberEats Unknown,,2/2/26,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Ad Spend,-10.07,0,0,0,-10.07,2/9/26,0,0,,7F9URJIZNZ9Z41N
Teleferic Barcelona (Los Angeles),,,,,,UberEats Unknown,,2/2/26,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Ad Spend,-26.96,0,0,0,-26.96,2/9/26,0,0,,7F9URJIZNZ9Z41N
Teleferic Barcelona (Los Angeles),,#C412E,44a5efa4-fa82-405d-902a-dcfacd6c412e,Delivery - Partner Using Uber App,Digital,Postmates iOS,Completed,2/2/26,12:26 PM,Uber One member,36,3.51,39.51,0,0,0,0,0,0,0,0,0,0,0,0,39.51,-7.2,20,0,0,0,0,0,0,0,0,,0,0,-3.51,0,28.8,2/9/26,0,0,,7F9URJIZNZ9Z41N
Teleferic Barcelona (Los Angeles),,#6EE0E,3ca30d97-c740-458f-b5b1-56e2eec6ee0e,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,2/2/26,2:40 PM,Uber One member,47,4.59,51.59,0,0,0,0,0,-12.08,-1.08,0,0,0,0,0,39.51,-7.2,20,0,0,0,0,0,0,0,0,,0,0,-3.51,0,28.8,2/9/26,0,0,,7F9URJIZNZ9Z41N
Teleferic Barcelona (Los Angeles),,#E80F0,afdebe38-e9b4-4e13-b93b-abf572ce80f0,Delivery - Partner Using Uber App,Digital,UberEats Android,Completed,2/2/26,5:59 PM,Uber One member,96,10.32,106.32,0,0,0,0,0,-12.17,-1.17,0,0,0,0,0,94.15,-17,20,0,0,0,0,0,0,0,0,,0,0,-9.15,0,68,2/9/26,0,0,,7F9URJIZNZ9Z41N
Teleferic Barcelona (Los Angeles),,#8C135,5078ff76-4c6d-43f3-a535-097c8aa8c135,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,2/2/26,5:55 PM,Uber One member,58,6.24,64.24,0,0,0,0,0,-12.18,-1.18,0,0,0,0,0,52.06,-9.4,20,0,0,0,0,0,0,0,0,,0,0,-5.06,0,37.6,2/9/26,0,0,,7F9URJIZNZ9Z41N
Teleferic Barcelona (Los Angeles),,#9F1C2,dada04ff-b62a-49e4-a5e9-e26faef9f1c2,Pickup,Digital,UberEats iOS,Completed,2/2/26,6:56 PM,Uber One member,33,3.22,36.22,0,0,0,0,0,0,0,0,0,0,0,0,36.22,-1.98,6,0,0,0,0,0,0,0,0,,0,0,-3.22,0,31.02,2/9/26,0,0,,7F9URJIZNZ9Z41N
Teleferic Barcelona (Los Angeles),,#ACD44,d39128ce-2d69-458c-8cc6-4093206acd44,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,2/2/26,6:49 PM,Uber One member,58,5.66,63.66,0,0,0,0,0,-12.07,-1.07,0,0,0,0,0,51.59,-9.4,20,0,0,0,0,0,0,0,0,,0,0,-4.59,0,37.6,2/9/26,0,0,,7F9URJIZNZ9Z41N
Teleferic Barcelona (Los Angeles),,#BB8ED,a3a3db44-dabb-408e-afe0-a7c4048bb8ed,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,2/2/26,7:40 PM,Uber One member,94,9.17,103.17,0,0,0,0,0,-12.07,-1.07,0,0,0,0,0,91.1,-16.6,20,0,0,0,0,0,0,0,0,,0,0,-8.1,0,66.4,2/9/26,0,0,,7F9URJIZNZ9Z41N
Teleferic Barcelona (Los Angeles),,#78C9E,63468dc4-2e5a-41ea-a9d8-7da758778c9e,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,2/2/26,8:07 PM,Uber One member,36,3.51,39.51,0,0,0,0,0,0,0,0,0,0,0,0,39.51,-7.2,20,0,0,0,0,0,0,0,0,,0,0,-3.51,0,28.8,2/9/26,0,0,,7F9URJIZNZ9Z41N
Teleferic Barcelona (Los Angeles),,,,,,UberEats Unknown,,2/2/26,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Ad Spend,-5.48,0,0,0,-5.48,2/9/26,0,0,,7F9URJIZNZ9Z41N
Teleferic Barcelona (Los Angeles),,,,,,UberEats Unknown,,2/3/26,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Ad Spend,-26.09,0,0,0,-26.09,2/9/26,0,0,,7F9URJIZNZ9Z41N
Teleferic Barcelona (Los Angeles),,#FDAE0,c1981185-2d17-4139-90d5-8840280fdae0,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,2/3/26,4:55 PM,Uber One member,32,3.12,35.12,0,0,0,0,0,-5.48,-0.48,0,0,-0.99,0,0,29.64,-5.4,20,0,0,0,0,0,0,0,0,Customer contribution,2,0,-2.64,0,22.61,2/9/26,0,0,,7F9URJIZNZ9Z41N
Teleferic Barcelona (Los Angeles),,,,,,UberEats Unknown,,2/3/26,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Ad Spend,-19.52,0,0,0,-19.52,2/9/26,0,0,,7F9URJIZNZ9Z41N
