Store Name,Store ID,Order ID,Workflow ID,Item Name,Item Priced By,Unit Sold By,Estimated Average Weight,Requested Weight,Final Weight,Requested Count,Final Count,Requested Quantity,Final Quantity,Unit price,External ID ,Dining Mode,Payment Mode,Order Channel,Order Status,Order Date,Order Accept Time,Customer Uber-Membership Status,Sales (excl. tax),Tax on Sales,Sales (incl. tax),Order Error Adjustments,Tax on Order Error Adjustments,Order Error Adjustments (incl. tax),Price adjustments (excl. tax),Tax on Price Adjustments,Offers on items (incl. tax),Tax On Offers on items,Delivery Offer Redemptions (incl. tax),Tax On Delivery Offer Redemptions,Offer Redemption Fee,Bag Fee,Marketing Adjustment,Total Sales after Adjustments (incl tax),Marketplace Fee,Marketplace fee %,Tax on Marketplace Fee,Delivery Network Fee,Tax on Delivery Network Fee,Order Processing Fee,Delivery Fee,Tax On Delivery Fee,Tips,Capital payments,Other payments description,Other payments,"Marketplace Facilitator Tax Adjustment
",Marketplace Facilitator Tax,Backup Withholding Tax,Total payout ,Payout Date,Markup Amount,Markup Tax,Retailer Loyalty ID,Payout reference ID
Capriotti's Sandwich Shop (IA069),69|15645,,,,,,,,,,,,,,,,,UberEats Unknown,,9/29/25,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Ad Spend,-2.78,,0,0,-2.78,10/6/25,0,0,,FC25LUQ7OSKKXUN
Capriotti's Sandwich Shop (IA069),69|15645,,,,,,,,,,,,,,,,,UberEats Unknown,,9/29/25,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Ad Spend,-2.11,,0,0,-2.11,10/6/25,0,0,,FC25LUQ7OSKKXUN
Capriotti's Sandwich Shop (IA069),69|15645,#F6A34,2d1790a7-a216-4823-89e8-de0ec54f6a34,,,,,,,,,,,,,Delivery - Partner Using Uber App,Digital,UberEats Android,Completed,9/29/25,5:05 PM,Non-member,23.98,1.68,25.66,0,0,0,0,0,0,0,0,0,0,0,0,25.66,-4.32,18,0,0,0,0,0,0,0,0,,0,,-1.68,0,19.66,10/6/25,0,0,,FC25LUQ7OSKKXUN
,,,2d1790a7-a216-4823-89e8-de0ec54f6a34,Capastrami,Count,Count,0,0,0,1,1,1,1,11.29,836184,Delivery - Partner Using Uber App,,UberEats Android,Completed,9/29/25,5:05 PM,,23.98,1.68,25.66,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capriotti's Sandwich Shop (IA069),69|15645,#99048,f77e09fa-0e3a-4a54-9f20-8f2a24e99048,,,,,,,,,,,,,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,9/29/25,5:16 PM,Uber One member,48.35,3.39,51.74,0,0,0,0,0,-8,-0.56,0,0,0,0,1.6,45.34,-8.81,21,0,0,0,0,0,0,0,0,,0,,-2.83,0,33.14,10/6/25,0,0,,FC25LUQ7OSKKXUN
,,,f77e09fa-0e3a-4a54-9f20-8f2a24e99048,The Hot Bobbie,Count,Count,0,0,0,1,1,1,1,10.69,836185,Delivery - Partner Using Uber App,,UberEats iOS,Completed,9/29/25,5:16 PM,,17.49,1.22,18.71,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,f77e09fa-0e3a-4a54-9f20-8f2a24e99048,Capastrami,Count,Count,0,0,0,1,1,1,1,11.29,836184,Delivery - Partner Using Uber App,,UberEats iOS,Completed,9/29/25,5:16 PM,,24.28,1.7,25.98,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,f77e09fa-0e3a-4a54-9f20-8f2a24e99048,Make it a Combo!,Count,Count,0,0,0,1,1,1,1,0,946095,Delivery - Partner Using Uber App,,UberEats iOS,Completed,9/29/25,5:16 PM,,6.58,0.47,7.05,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capriotti's Sandwich Shop (IA069),69|15645,#11B72,994aa7a6-78af-4488-9828-bf9929311b72,,,,,,,,,,,,,Delivery - Partner Using Uber App,Digital,UberEats Android,Completed,9/29/25,6:04 PM,Uber One member,42.47,2.98,45.45,0,0,0,0,0,-8,-0.57,0,0,0,0,1.6,39.05,-7.57,21,0,0,0,0,0,0,0,0,,0,,-2.41,0,28.5,10/6/25,0,0,,FC25LUQ7OSKKXUN
,,,994aa7a6-78af-4488-9828-bf9929311b72,Bowl of Soup,Count,Count,0,0,0,1,1,1,1,7.49,946094,Delivery - Partner Using Uber App,,UberEats Android,Completed,9/29/25,6:04 PM,,7.49,0.53,8.02,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
