Store name as per Uber Eats manager,External store ID as per Uber Eats manager,Order ID as per Uber Eats manager,Unique ID to identify the order ,"The mode of order fulfillment whether it was delivery by courier via Uber network, delivery by merchant, Pick-up by customer or Dine-in",Mode of payment used for order payment,"The platform from which the customer ordered, (i.e. iOS, Android, Uber Eats Web)","Either: Completed (eater received food), Cancelled (order cancelled by eater or support), Refund (eater was refunded for order), or Unfulfilled (order was not able to be completed)","Local date the order was placed, or local date of the original order placed for which there is a refund",Local timestamp for when order was accepted by the merchant ,Uber membership status of the customer who placed the order,Total item sales excl tax ,Tax on total item sales in the order,Total item sales incl tax,Amount merchants are responsible for refunding customers when they report order errors (excl tax),Tax Refund On Sales,Amount merchants are responsible for refunding customers when they report order errors (incl tax),Adjustments merchants made to the price of items once an order has been placed (excl tax),Tax on in-store price adjustments,Merchant promotions applied to the order,Tax on merchant promotions applied to the order,Merchant promotions applied to the delivery fee charged to Eaters,Tax on merchant promotions applied to the delivery fee charged to Eaters,Offer Redemption Fee,Fee charged to eater by the merchant for the packaging material,Amount merchant charges Uber for co-funded marketing campaigns. Varies depending on co-funding % for the campaign.,"Total item sales including promotions, adjustments and bag fee incl tax where applicable","The fee Uber charges to merchant to make their store visible to potential customers, provide support and other related services ( %fee is applied to sub-total before discounts) ",The % Marketplace fee Uber charges merchant,Tax on Marketplace fee charged to merchant by Uber,Fixed Fee charged to merchant by Uber for using Ubers delivery network ,Tax on delivery network fee charged to merchant by Uber,A flat % fee on the basket charged by Uber to merchants for processing every order ,"Where delivery fee is greater than cost of delivery, this is equal to (delivery fee minus the cost of delivery) where applicable",Tax on service fee charged by merchants to eaters,"For merchants who perform their own delivery, the tip from the Eater to the courier",Amount directed to Merchant Capital payments,Description of adhoc one-time payments or charges from Uber to the merchant,"All miscellaneous payments like Ad payments, Ad credits etc. inclusive of tax",Tax on Uber funded promotions applied to the order,Sales tax Uber Eats is required to pay in jurisdictions with marketplace facilitator laws ,"As required by the IRS, a % withheld from payments if the EIN/TIN is missing or does not match IRS records.",Total payout associated with this order (negative if associated with a refund)  Sales + Adjustments - promotions + marketing adjustment + Bag fee + delivery fee (self delivery) + tips (self-delivery) - marketplace fee +/- Other payments - marketplace facilitator tax  (incl tax where applicable),Date payout initiated by Uber (generally the Monday following the prior week),Amount commercially agreed to between Merchant and Uber added on a per item basis and charged to the Eater on Merchant’s behalf	,Applicable taxes due on the Markup Amount,"This is the ID from retailers, used to identify retailer loyalty customers",The reference ID for identifying the payout related to this order in the Payout Summary Report CSV
Store Name,Store ID,Order ID,Workflow ID,Dining Mode,Payment Mode,Order Channel,Order Status,Order Date,Order Accept Time,Customer Uber-Membership Status,Sales (excl. tax),Tax on Sales,Sales (incl. tax),Order Error Adjustments,Tax on Order Error Adjustments,Order Error Adjustments (incl. tax),Price adjustments (excl. tax),Tax on Price Adjustments,Offers on items (incl. tax),Tax On Offers on items,Delivery Offer Redemptions (incl. tax),Tax On Delivery Offer Redemptions,Offer Redemption Fee,Bag Fee,Marketing Adjustment,Total Sales after Adjustments (incl tax),Marketplace Fee,Marketplace fee %,Tax on Marketplace Fee,Delivery Network Fee,Tax on Delivery Network Fee,Order Processing Fee,Delivery Fee,Tax On Delivery Fee,Tips,Capital payments,Other payments description,Other payments,"Marketplace Facilitator Tax Adjustment
",Marketplace Facilitator Tax,Backup Withholding Tax,Total payout ,Payout Date,Markup Amount,Markup Tax,Retailer Loyalty ID,Payout reference ID
Capriotti's Sandwich Shop (IA069),69|15645,,,,,UberEats Unknown,,10/6/25,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Ad Spend,-1.01,,0,0,-1.01,10/14/25,0,0,,QZ096FOYYUX5HYT
Capriotti's Sandwich Shop (IA069),69|15645,#C2ECE,91324a44-ee68-4c75-ba6d-6a007a8c2ece,Delivery - Partner Using Uber App,Digital,UberEats Web,Completed,10/6/25,2:11 PM,Uber One member,28.87,2.45,31.32,0,0,0,0,0,0,0,0,0,0,0,0,31.32,-6.06,21,0,0,0,0,0,0,0,0,,0,,-2.45,0,22.81,10/14/25,0,0,,QZ096FOYYUX5HYT
Capriotti's Sandwich Shop (IA069),69|15645,,,,,UberEats Unknown,,10/7/25,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Ad Spend,-5.65,,0,0,-5.65,10/14/25,0,0,,QZ096FOYYUX5HYT
Capriotti's Sandwich Shop (IA069),69|15645,,,,,UberEats Unknown,,10/7/25,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Ad Spend,-4.27,,0,0,-4.27,10/14/25,0,0,,QZ096FOYYUX5HYT
Capriotti's Sandwich Shop (IA069),69|15645,#91AAE,d1679483-ae5c-41ef-904a-6b081de91aae,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,10/7/25,10:44 AM,Uber One member,273.2,19.12,292.32,0,0,0,0,0,-8,-0.56,0,0,0,0,1.6,285.92,-56.03,21,0,0,0,0,0,0,0,0,,0,,-18.56,0,210.77,10/14/25,0,0,,QZ096FOYYUX5HYT
Capriotti's Sandwich Shop (IA069),69|15645,#808BF,e7973c6f-6452-4064-9572-6b28333808bf,Pickup,Digital,UberEats iOS,Completed,10/7/25,11:45 AM,Uber One member,24.36,1.71,26.07,0,0,0,0,0,0,0,0,0,0,0,0,26.07,-1.46,6,0,0,0,0,0,0,0,0,,0,,-1.71,0,22.9,10/14/25,0,0,,QZ096FOYYUX5HYT
Capriotti's Sandwich Shop (IA069),69|15645,#19474,730ad1f1-2fe1-4c85-b232-57f007119474,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,10/7/25,7:13 PM,Uber One member,21.88,1.53,23.41,0,0,0,0,0,0,0,0,0,0,0,0,23.41,-4.59,21,0,0,0,0,0,0,0,0,,0,,-1.53,0,17.29,10/14/25,0,0,,QZ096FOYYUX5HYT
Capriotti's Sandwich Shop (IA069),69|15645,,,,,UberEats Unknown,,10/8/25,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Ad Spend,-1.31,,0,0,-1.31,10/14/25,0,0,,QZ096FOYYUX5HYT
Capriotti's Sandwich Shop (IA069),69|15645,,,,,UberEats Unknown,,10/8/25,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Ad Spend,-0.75,,0,0,-0.75,10/14/25,0,0,,QZ096FOYYUX5HYT
