Start date,End date,Location UUID,Location name,Address,City,Exposed ROAS,Return on Ad Spend,Conversion rate,Clicks,Click through rate,Impressions,Cost per click,Ad spend,Cost per order,Exposed sales,Sales,Exposed orders,Orders,Exposed avg. basket size,Average basket size,Currency Code
2025-10-06,2025-10-12,00c9924c-38e9-5bff-b75a-6397068cbc3d,Capriotti's Sandwich Shop (CO100410),5856 Barnes Road,Colorado Springs,13.5219,13.5219,0.2000,15,0.0514,292,0.61,9.12,3.04,123.32,123.32,3,3,41.11,41.11,USD
2025-10-06,2025-10-12,060d40fd-dbae-4f64-8d3d-9266bfb61c54,Capriotti's Sandwich Shop (DE025),456 W Glenwood ave,Smyrna,104.0364,104.0364,1,1,0.0244,41,0.55,0.55,0.55,57.22,57.22,1,1,57.22,57.22,USD
2025-10-06,2025-10-12,068cd978-fd26-4c04-973e-7ddec52a3253,Wing Zone (KY200101),3505 Poplar Level Road,Louisville-Jefferson County,11.7697,5.4830,0.1724,29,0.0337,860,0.92,26.75,3.82,314.84,146.67,7,5,44.98,29.33,USD
2025-10-06,2025-10-12,072b9e91-7cee-51cb-b4d7-b7f35cb0d763,Capriotti's Sandwich Shop (CO100245),"7939 East Arapahoe Rd, Suite 160",Greenwood Village,20.9259,7.9327,0.1852,27,0.0284,950,0.82,22.14,2.46,463.30,175.63,9,5,51.48,35.13,USD
2025-10-06,2025-10-12,08433855-694b-4865-8247-2dfbf5fa52c2,Capriotti's Sandwich Shop (PA014),"301 Byers Dr, Glen Mills, PA 19342, USA",Glen Mills,28.7440,19.7527,0.2857,7,0.0986,71,0.65,4.57,1.52,131.36,90.27,3,2,43.79,45.14,USD
2025-10-06,2025-10-12,087b98e1-d0d1-4b12-8761-55fcfa5a9869,Capriotti's Sandwich Shop (UT156),"4608 W Partridge Hill Ln B-130, Riverton, UT 84065, USA",Riverton,18.4021,13.9990,0.3077,13,0.0563,231,0.73,9.55,1.91,175.74,133.69,5,4,35.15,33.42,USD
2025-10-06,2025-10-12,087c2c81-e9d8-5ca2-8e96-6b949030e542,Capriotti's Sandwich Shop (CA100265),12831 Moreno Beach Dr Suite# 107,Moreno Valley,25.9516,18.1012,0.3571,14,0.0298,470,0.83,11.56,1.65,300.00,209.25,7,5,42.86,41.85,USD
2025-10-06,2025-10-12,0a4f2090-bce6-5523-b13b-264f2a33d731,Capriotti's Sandwich Shop (NC100201),2040 Freeman Park Drive,Charlotte,11.9974,7.3970,0.2222,18,0.0264,683,0.86,15.54,2.22,186.44,114.95,7,4,26.63,28.74,USD
2025-10-06,2025-10-12,0a65e727-53ee-463a-9831-030770c01abc,Capriotti's Sandwich Shop (NV056),325 N Nellis Blvd #110,Las Vegas,20.7312,13.9130,0.2857,28,0.0310,904,0.79,22.06,1.84,457.33,306.92,12,8,38.11,38.37,USD
2025-10-06,2025-10-12,0c5d3da3-f88e-412a-9dcb-7d2a90f476eb,Capriotti's Sandwich Shop (UT132),2569 5600 W,West Valley City,8.4353,0,0,9,0.0308,292,0.81,7.26,3.63,61.24,0.00,2,0,30.62,0.00,USD
2025-10-06,2025-10-12,1285ef5d-7f2a-5088-932d-bd2724914f37,Capriotti's Sandwich Shop (VA100355),2203 Plank Road,Fredericksburg,14.2755,8.6152,0.2308,26,0.0525,495,0.77,19.93,2.49,284.51,171.70,8,6,35.56,28.62,USD
2025-10-06,2025-10-12,12f2f495-bf73-565e-ac12-6384f2dcc9ac,Capriotti's Sandwich Shop (HI100392),4210 Waialae Avenue,Honolulu,18.7507,11.6750,0.2805,82,0.0339,2419,0.79,64.87,1.85,"1,216.36",757.36,35,23,34.75,32.93,USD
2025-10-06,2025-10-12,158b170d-5d4f-4fbb-bb61-b8d8264d4b39,Capriotti's Sandwich Shop (NV142),5020 Blue Diamond Rd# C,Las Vegas,40.5824,33.2765,0.6667,6,0.0175,342,0.85,5.10,1.02,206.97,169.71,5,4,41.39,42.43,USD
2025-10-06,2025-10-12,15be1b9d-862f-427f-ab0c-ceaf2b03700f,Capriotti's Sandwich Shop (DE009),430 Eden Circle,Bear,22.3377,16.0019,0.4286,7,0.0473,148,0.76,5.30,1.33,118.39,84.81,4,3,29.60,28.27,USD
2025-10-06,2025-10-12,1677541b-6ef5-4c4f-a087-0d2919493d3c,Capriotti's Sandwich Shop (NV151),1122 South Maryland Parkway,Las Vegas,23.6423,17.1333,0.4194,31,0.0419,740,0.79,24.60,1.45,581.60,421.48,17,13,34.21,32.42,USD
2025-10-06,2025-10-12,17558794-537e-4c50-bff3-65c73e319519,Capriotti's Sandwich Shop (DE003),241 Newark Shopping Center,Newark,31.0623,31.0623,0.3750,16,0.0865,185,0.43,6.90,1.15,214.33,214.33,6,6,35.72,35.72,USD
2025-10-06,2025-10-12,193775d1-c9b3-5a6a-a38b-662e187368f1,Capriotti's Sandwich Shop (TX100327),801 International Parkway,Flower Mound,7.1222,4.8339,0.1067,150,0.0455,3298,0.77,115.78,5.51,824.61,559.67,21,16,39.27,34.98,USD
2025-10-06,2025-10-12,1de2e935-f70d-49f0-ab7c-301dafeda06f,Wing Zone (SC200242),1209 Hwy 17 S,North Myrtle Beach,6.1519,2.8015,0.1429,7,0.0333,210,0.95,6.65,3.33,40.91,18.63,2,1,20.46,18.63,USD
2025-10-06,2025-10-12,23482e12-9ce6-558d-ae22-199cf61b7be5,Capriotti's Sandwich Shop (CA100321),2888 East Shepherd Avenue,Fresno,36.9569,25.7629,0.3333,3,0.0210,143,0.77,2.32,1.16,85.74,59.77,2,1,42.87,59.77,USD
2025-10-06,2025-10-12,2420ebed-0fda-478d-9098-9632752339be,Capriotti's Sandwich Shop (NV126),2620 Nature Park Dr,North Las Vegas,50.1931,28.3170,0.5882,17,0.0262,648,0.76,12.84,0.68,644.48,363.59,19,10,33.92,36.36,USD
2025-10-06,2025-10-12,2730948e-124e-449c-aa34-e3d50b128ed5,Capriotti's Sandwich Shop (NV040),"90 S Stephanie St, Ste 140",Henderson,30.8926,14.9257,0.2667,15,0.0267,561,0.66,9.96,1.00,307.69,148.66,10,4,30.77,37.17,USD
2025-10-06,2025-10-12,273f1260-b286-4892-913a-a3117ac858a0,Capriotti's Sandwich Shop (IA069),"3016 E. 53rd Street,",Davenport,33.0093,22.2164,0.4000,15,0.0489,307,0.64,9.66,0.97,318.87,214.61,10,6,31.89,35.77,USD
2025-10-06,2025-10-12,27b63f59-37d7-555c-9882-a7186df577f3,Capriotti's Sandwich Shop (CO100326),11153 S. Parker Rd. Unit C,Parker,24.0438,24.0438,0.5000,10,0.0355,282,0.69,6.85,1.37,164.70,164.70,5,5,32.94,32.94,USD
