"order_channel","order_number","transaction_date","transaction_time_local","order_time_zone","grubhub_store_id","store_number","store_name","street_address","city","state","postal_code","transaction_type","fulfillment_type","gh_plus_customer","subtotal","subtotal_sales_tax","subtotal_sales_tax_exemption","self_delivery_charge","self_delivery_charge_tax","self_delivery_charge_tax_exemption","merchant_service_fee","merchant_service_fee_tax","merchant_service_fee_tax_exemption","merchant_flexible_fee_bag_fee","merchant_flexible_fee_bag_fee_tax","merchant_flexible_fee_bag_fee_tax_exemption","merchant_flexible_fee_pif_fee","merchant_flexible_fee_pif_fee_tax","merchant_flexible_fee_pif_fee_tax_exemption","tip","merchant_total","commission","delivery_commission","gh_plus_commission","processing_fee","withheld_tax","withheld_tax_exemption","merchant_funded_promotion","merchant_funded_loyalty","merchant_net_total","transaction_note","transaction_id"
"Marketplace","759231042883948","2025-09-13","02:23:00 PM","America/Los_Angeles","5452752","CA100321","Capriotti's Sandwich Shop","2888 E Shepherd Ave  ","Fresno","CA","93720","Prepaid Order","Grubhub Delivery","GH+","28.27","2.36","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","30.63","-2.83","-2.83","0.00","0.00","0.00","0.00","0.00","0.00","24.97",,"BwEAAAAAAFMz0DyoIMCQ5BHwoMF18HoPnfI"
"Marketplace","131831030573277","2025-09-12","08:45:42 PM","America/New_York","10374016","NJ100463","Capriotti's Sandwich Shop","301 N Harrison St  ","Princeton","NJ","08540","Order Adjustment","Grubhub Delivery","GH+","-4.39","-0.29","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-4.68","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-4.68","MISSING_ITEM - Refund requested by diner via help interaction","CQMAAAAAAJ5LgMUV9kCQERHwtkEtvAt6YTUAAAAB"
"Marketplace","131831030573277","2025-09-12","04:33:00 PM","America/New_York","10374016","NJ100463","Capriotti's Sandwich Shop","301 N Harrison St  ","Princeton","NJ","08540","Prepaid Order","Grubhub Delivery","GH+","20.08","1.33","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","21.41","-2.01","-2.01","0.00","0.00","0.00","0.00","0.00","0.00","17.39",,"BwEAAAAAAJ5LgMUV9kCQERHwtkEtvAt6YTU"
"Marketplace","555031052864625","2025-09-14","04:24:00 PM","America/Chicago","11584616","Frisco","Capriotti's Sandwich Shop","1612 FM 423  ","Frisco","TX","75034","Prepaid Order","Grubhub Delivery","GH+","14.98","1.24","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","16.22","-1.50","-1.50","0.00","0.00","0.00","0.00","0.00","0.00","13.22",,"BwEAAAAAALDEaC-oa8CRqhHwq8GvYcdGiDo"
"Marketplace","731731028888331","2025-09-11","12:52:00 PM","America/New_York","5524352","VA100390","Capriotti's Sandwich Shop","3951 Brambleton Avenue Southwest  ","Roanoke","VA","24018","Prepaid Order","Grubhub Delivery","GH+","15.58","1.13","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","16.71","-1.56","-1.56","0.00","0.00","0.00","0.00","-3.00","0.00","10.59",,"BwEAAAAAAFRLgHQuJJCPHRHwpJGLIOQaOjo"
"Marketplace","194331015988824","2025-09-10","01:03:00 PM","America/Los_Angeles","9713992","CA100453","Capriotti's Sandwich Shop","9867 Magnolia Ave  ","Riverside","CA","92503","Prepaid Order","Grubhub Delivery","GH+","27.07","2.37","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","29.44","-2.71","-2.71","0.00","0.00","0.00","0.00","0.00","0.00","24.02",,"BwEAAAAAAJQ5SLqHDaCOexHwjaHdYY-2TIs"
"Marketplace","087931068955354","2025-09-14","08:25:00 PM","America/Chicago","11584616","Frisco","Capriotti's Sandwich Shop","1612 FM 423  ","Frisco","TX","75034","Prepaid Order","Grubhub Delivery","GH+","36.28","2.58","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","38.86","-3.63","-3.63","0.00","0.00","0.00","0.00","-5.00","0.00","26.60",,"BwEAAAAAALDEaPoYypCRzBHwipHZpy9vBXE"
"Marketplace","922031046859447","2025-09-13","05:34:00 PM","America/Los_Angeles","5895160","CA100205","Capriotti's Sandwich Shop","27630 The Old Rd Pad C  ","Valencia","CA","91355","Order Adjustment","Grubhub Delivery","GH+","0.00","0.86","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.86","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.86","Tax Adjustment","CQMAAAAAAFnz-EmEBcCQ_RHwhcF5aR2KWdQAAAAB"
"Marketplace","922031046859447","2025-09-13","05:34:00 PM","America/Los_Angeles","5895160","CA100205","Capriotti's Sandwich Shop","27630 The Old Rd Pad C  ","Valencia","CA","91355","Prepaid Order","Grubhub Delivery","GH+","39.98","3.04","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","43.02","-4.00","-4.00","0.00","0.00","0.00","0.00","-8.00","0.00","27.02",,"BwEAAAAAAFnz-EmEBcCQ_RHwhcF5aR2KWdQ"
"Marketplace","231931043396777","2025-09-13","02:27:00 PM","America/New_York","3235323","PA014","Capriotti's Sandwich Shop","301 Byers Dr  ","Glen Mills","PA","19342","Prepaid Order","Grubhub Delivery","non GH+","35.56","2.13","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","37.69","-3.56","-3.56","0.00","0.00","-2.13","0.00","0.00","0.00","28.44",,"BwEAAAAAADFd-xGzYMCQyRHwoMGTtNRpTG0"
