"order_channel","order_number","transaction_date","transaction_time_local","order_time_zone","grubhub_store_id","store_number","store_name","street_address","city","state","postal_code","transaction_type","fulfillment_type","gh_plus_customer","subtotal","subtotal_sales_tax","subtotal_sales_tax_exemption","self_delivery_charge","self_delivery_charge_tax","self_delivery_charge_tax_exemption","merchant_service_fee","merchant_service_fee_tax","merchant_service_fee_tax_exemption","merchant_flexible_fee_bag_fee","merchant_flexible_fee_bag_fee_tax","merchant_flexible_fee_bag_fee_tax_exemption","merchant_flexible_fee_pif_fee","merchant_flexible_fee_pif_fee_tax","merchant_flexible_fee_pif_fee_tax_exemption","tip","merchant_total","commission","delivery_commission","gh_plus_commission","processing_fee","withheld_tax","withheld_tax_exemption","merchant_funded_promotion","merchant_funded_loyalty","merchant_net_total","transaction_note","transaction_id"
"Marketplace","296531251750411","2025-10-04","01:08:50 PM","America/New_York","2855912","SC237","Capriotti's Sandwich Shop","810 Brayden Parkway suite 103  ","Fort Mill","SC","29708","Prepaid Order","Pick-Up","non GH+","16.28","1.47","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.00","18.75","-1.63","0.00","0.00","0.00","-1.47","0.00","0.00","0.00","15.65",,"BwEAAAAAACuT6O80vhChQhHwvhGxCMBsmuU"
"Marketplace","116631233741080","2025-10-02","05:01:00 PM","America/Los_Angeles","321694","NV035","Capriotti's Sandwich Shop","4825 S Fort Apache Rd Ste K ","Las Vegas","NV","89147","Prepaid Order","Grubhub Delivery","GH+","35.27","2.95","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","38.22","-3.53","-3.53","0.00","0.00","-2.95","0.00","0.00","0.00","28.21",,"BwEAAAAAAATonpfhYXCf5hHwoXHvbFHbWz0"
"Marketplace","092531248126408","2025-10-03","11:45:00 AM","America/New_York","7364896","FL100404","Capriotti's Sandwich Shop","7480 Cortez Rd W  ","Bradenton","FL","34209","Prepaid Order","Grubhub Delivery","GH+","50.65","3.55","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","54.20","-5.07","-5.07","0.00","0.00","0.00","0.00","0.00","0.00","44.06",,"BwEAAAAAAHBhIP6ej-CgaRHwj-ELmDSpK1s"
"Marketplace","484731236666484","2025-10-02","01:49:00 PM","America/Los_Angeles","2745321","CA084","Capriotti's Sandwich Shop","5495 Sepulveda Blvd Ste H  ","Culver City","CA","90230","Order Adjustment","Grubhub Delivery","GH+","0.00","1.17","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.17","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.17","Tax Adjustment","CQMAAAAAACnj6cPpAJCfyxHwgJEfQXq6E1gAAAAB"
"Marketplace","484731236666484","2025-10-02","01:49:00 PM","America/Los_Angeles","2745321","CA084","Capriotti's Sandwich Shop","5495 Sepulveda Blvd Ste H  ","Culver City","CA","90230","Prepaid Order","Grubhub Delivery","GH+","53.75","4.48","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","58.23","-5.38","-5.38","0.00","0.00","0.00","0.00","-10.00","0.00","37.47",,"BwEAAAAAACnj6cPpAJCfyxHwgJEfQXq6E1g"
"Marketplace","516831238842578","2025-10-02","01:39:00 PM","America/New_York","2745349","MD013","Capriotti's Sandwich Shop","202 S Bridge St  ","Elkton","MD","21921","Prepaid Order","Grubhub Delivery","non GH+","16.78","1.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","17.79","-1.68","-1.68","0.00","0.00","-1.01","0.00","0.00","0.00","13.42",,"BwEAAAAAACnkBeV6NRCfrxHwtREb6-EB00M"
"Marketplace","686231248458599","2025-10-03","03:46:00 PM","America/Los_Angeles","2472962","OR228","Capriotti’s Sandwich Shop","2818 NE Halsey Street  Portland ","Portland","OR","97232","Prepaid Order","Grubhub Delivery","GH+","33.89","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","33.89","-1.69","-3.39","0.00","0.00","0.00","0.00","-8.00","0.00","20.81",,"BwEAAAAAACW8AgZAhoCgpxHwhoErVlasMgk"
"Marketplace","432531253303793","2025-10-04","05:29:00 PM","America/Denver","9235568","CO100326","Capriotti's Sandwich Shop","11153 S Parker Rd  ","Parker","CO","80134","Prepaid Order","Grubhub Delivery","GH+","31.28","2.50","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","33.78","-3.13","-3.13","0.00","0.00","-2.50","0.00","0.00","0.00","25.02",,"BwEAAAAAAIzscIzjy7ChdRHwi7Ep5mcYYxU"
"Marketplace","602431211910291","2025-09-29","07:53:00 PM","America/Los_Angeles","2745321","CA084","Capriotti's Sandwich Shop","5495 Sepulveda Blvd Ste H  ","Culver City","CA","90230","Order Adjustment","Grubhub Delivery","GH+","0.00","0.91","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.91","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.91","Tax Adjustment","CQMAAAAAACnj6ZcHNKCdohHwtKGTNd_S9mkAAAAB"
"Marketplace","602431211910291","2025-09-29","07:53:00 PM","America/Los_Angeles","2745321","CA084","Capriotti's Sandwich Shop","5495 Sepulveda Blvd Ste H  ","Culver City","CA","90230","Prepaid Order","Grubhub Delivery","GH+","39.38","3.22","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","42.60","-3.94","-3.94","0.00","0.00","0.00","0.00","-8.00","0.00","26.72",,"BwEAAAAAACnj6ZcHNKCdohHwtKGTNd_S9mk"
"Marketplace","390431209818944","2025-09-29","12:01:00 PM","America/New_York","2710456","PA080","Capriotti's Sandwich Shop","141 S State Rd  ","Springfield","PA","19064","Prepaid Order","Grubhub Delivery","GH+","24.58","1.47","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","26.05","-2.46","-2.46","0.00","0.00","-1.47","0.00","0.00","0.00","19.66",,"BwEAAAAAAClbuHlCuKCdRxHwuKErc_JjuXI"
