Store Name,Store ID,Order ID,Workflow ID,Item Name,Item Priced By,Unit Sold By,Estimated Average Weight,Requested Weight,Final Weight,Requested Count,Final Count,Requested Quantity,Final Quantity,Unit price,External ID ,Dining Mode,Payment Mode,Order Channel,Order Status,Order Date,Order Accept Time,Customer Uber-Membership Status,Sales (excl. tax),Tax on Sales,Sales (incl. tax),Order Error Adjustments,Tax on Order Error Adjustments,Order Error Adjustments (incl. tax),Price adjustments (excl. tax),Tax on Price Adjustments,Offers on items (incl. tax),Tax On Offers on items,Delivery Offer Redemptions (incl. tax),Tax On Delivery Offer Redemptions,Offer Redemption Fee,Bag Fee,Marketing Adjustment,Total Sales after Adjustments (incl tax),Marketplace Fee,Marketplace fee %,Tax on Marketplace Fee,Delivery Network Fee,Tax on Delivery Network Fee,Order Processing Fee,Delivery Fee,Tax On Delivery Fee,Tips,Capital payments,Other payments description,Other payments,"Marketplace Facilitator Tax Adjustment
",Marketplace Facilitator Tax,Backup Withholding Tax,Total payout ,Payout Date,Markup Amount,Markup Tax,Retailer Loyalty ID,Payout reference ID
Capriotti's Sandwich Shop (IA069),69|15645,,,,,,,,,,,,,,,,,UberEats Unknown,,9/15/25,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Ad Spend,-4.64,,0,0,-4.64,9/22/25,0,0,,5NKLE87461IK39E
Capriotti's Sandwich Shop (IA069),69|15645,#1FB98,029c1a1a-9485-4d50-9d25-d5bdf0d1fb98,,,,,,,,,,,,,Delivery - Partner Using Uber App,Digital,UberEats Android,Completed,9/15/25,6:44 PM,Uber One member,42.47,2.98,45.45,0,0,0,0,0,-8,-0.57,0,0,0,0,1.6,39.05,-7.57,21,0,0,0,0,0,0,0,0,,0,,-2.41,0,28.5,9/22/25,0,0,,5NKLE87461IK39E
,,,029c1a1a-9485-4d50-9d25-d5bdf0d1fb98,The Bobbie,Count,Count,0,0,0,2,2,2,2,10.69,836170,Delivery - Partner Using Uber App,,UberEats Android,Completed,9/15/25,6:44 PM,,34.98,2.45,37.43,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,029c1a1a-9485-4d50-9d25-d5bdf0d1fb98,Bowl of Soup,Count,Count,0,0,0,1,1,1,1,7.49,946094,Delivery - Partner Using Uber App,,UberEats Android,Completed,9/15/25,6:44 PM,,7.49,0.53,8.02,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capriotti's Sandwich Shop (IA069),69|15645,,,,,,,,,,,,,,,,,UberEats Unknown,,9/16/25,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Ad Spend,-6.95,,0,0,-6.95,9/22/25,0,0,,5NKLE87461IK39E
Capriotti's Sandwich Shop (IA069),69|15645,#EE350,3bdcf863-b240-4a06-9f87-1c13dc5ee350,,,,,,,,,,,,,Delivery - Partner Using Uber App,Digital,UberEats Web,Completed,9/16/25,2:26 PM,Non-member,37.86,3.21,41.07,0,0,0,0,0,-8,-0.68,0,0,0,0,1.6,34.67,-5.66,18,0,0,0,0,0,0,0,0,,0,,-2.53,0,25.8,9/22/25,0,0,,5NKLE87461IK39E
,,,3bdcf863-b240-4a06-9f87-1c13dc5ee350,Chicken Cheesesteak,Count,Count,0,0,0,1,1,1,1,10.69,836179,Delivery - Partner Using Uber App,,UberEats Web,Completed,9/16/25,2:26 PM,,17.49,1.48,18.97,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3bdcf863-b240-4a06-9f87-1c13dc5ee350,Classic Italian,Count,Count,0,0,0,1,1,1,1,10.69,975615,Delivery - Partner Using Uber App,,UberEats Web,Completed,9/16/25,2:26 PM,,13.79,1.17,14.96,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3bdcf863-b240-4a06-9f87-1c13dc5ee350,Brookie,Count,Count,0,0,0,2,2,2,2,3.29,855926,Delivery - Partner Using Uber App,,UberEats Web,Completed,9/16/25,2:26 PM,,6.58,0.56,7.14,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capriotti's Sandwich Shop (IA069),69|15645,#F2745,42b615de-011d-4a64-893f-a3d007bf2745,,,,,,,,,,,,,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,9/16/25,6:20 PM,Uber One member,31.26,2.65,33.91,0,0,0,0,0,0,0,0,0,0,0,0,33.91,-6.56,21,0,0,0,0,0,0,0,0,,0,,-2.65,0,24.7,9/22/25,0,0,,5NKLE87461IK39E
,,,42b615de-011d-4a64-893f-a3d007bf2745,Chicken Chipotle Crunch,Count,Count,0,0,0,1,1,1,1,10.69,836180,Delivery - Partner Using Uber App,,UberEats iOS,Completed,9/16/25,6:20 PM,,21.28,1.81,23.09,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,42b615de-011d-4a64-893f-a3d007bf2745,Bowl of Soup,Count,Count,0,0,0,1,1,1,1,7.49,946094,Delivery - Partner Using Uber App,,UberEats iOS,Completed,9/16/25,6:20 PM,,7.49,0.63,8.12,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,42b615de-011d-4a64-893f-a3d007bf2745,Cookie,Count,Count,0,0,0,1,1,1,1,2.49,989827,Delivery - Partner Using Uber App,,UberEats iOS,Completed,9/16/25,6:20 PM,,2.49,0.21,2.7,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capriotti's Sandwich Shop (IA069),69|15645,#18247,ce8c82c1-67be-4a7b-a21e-096ac0318247,,,,,,,,,,,,,Delivery - Partner Using Uber App,Digital,UberEats Android,Completed,9/16/25,6:54 PM,Non-member,17.49,1.23,18.72,0,0,0,0,0,0,0,0,0,0,0,0,18.72,-3.15,18,0,0,0,0,0,0,0,0,,0,,-1.23,0,14.34,9/22/25,0,0,,5NKLE87461IK39E
,,,ce8c82c1-67be-4a7b-a21e-096ac0318247,The Bobbie,Count,Count,0,0,0,1,1,1,1,10.69,836170,Delivery - Partner Using Uber App,,UberEats Android,Completed,9/16/25,6:54 PM,,17.49,1.23,18.72,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capriotti's Sandwich Shop (IA069),69|15645,,,,,,,,,,,,,,,,,UberEats Unknown,,9/17/25,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Ad Spend,-3.42,,0,0,-3.42,9/22/25,0,0,,5NKLE87461IK39E
Capriotti's Sandwich Shop (IA069),69|15645,#394AB,c0b90c8f-8b65-41f0-9084-7e19cf0394ab,,,,,,,,,,,,,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,9/17/25,12:04 PM,Non-member,29.39,2.5,31.89,0,0,0,0,0,0,0,0,0,0,0,0,31.89,-5.29,18,0,0,0,0,0,0,0,0,,0,,-2.5,0,24.1,9/22/25,0,0,,5NKLE87461IK39E
,,,c0b90c8f-8b65-41f0-9084-7e19cf0394ab,The Hot Bobbie,Count,Count,0,0,0,1,1,1,1,10.69,836185,Delivery - Partner Using Uber App,,UberEats iOS,Completed,9/17/25,12:04 PM,,29.39,2.5,31.89,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capriotti's Sandwich Shop (IA069),69|15645,#A8EEE,c8efbc74-2195-4621-a7e5-ba9a6c0a8eee,,,,,,,,,,,,,Delivery - Partner Using Uber App,Digital,UberEats Android,Completed,9/17/25,7:17 PM,Uber One member,17.49,1.23,18.72,0,0,0,0,0,0,0,0,0,0,0,0,18.72,-3.67,21,0,0,0,0,0,0,0,0,,0,,-1.23,0,13.82,9/22/25,0,0,,5NKLE87461IK39E
,,,c8efbc74-2195-4621-a7e5-ba9a6c0a8eee,Plant-Based Turkey,Count,Count,0,0,0,1,1,1,1,10.69,836263,Delivery - Partner Using Uber App,,UberEats Android,Completed,9/17/25,7:17 PM,,17.49,1.23,18.72,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capriotti's Sandwich Shop (IA069),69|15645,,,,,,,,,,,,,,,,,UberEats Unknown,,9/18/25,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Ad Spend,-4.76,,0,0,-4.76,9/22/25,0,0,,5NKLE87461IK39E
