Store name as per Uber Eats manager,External store ID as per Uber Eats manager,Order ID as per Uber Eats manager,Unique ID to identify the order ,"The mode of order fulfillment whether it was delivery by courier via Uber network, delivery by merchant, Pick-up by customer or Dine-in",Mode of payment used for order payment,"The platform from which the customer ordered, (i.e. iOS, Android, Uber Eats Web)","Either: Completed (eater received food), Cancelled (order cancelled by eater or support), Refund (eater was refunded for order), or Unfulfilled (order was not able to be completed)","Local date the order was placed, or local date of the original order placed for which there is a refund",Local timestamp for when order was accepted by the merchant ,Uber membership status of the customer who placed the order,Total item sales excl tax ,Tax on total item sales in the order,Total item sales incl tax,Amount merchants are responsible for refunding customers when they report order errors (excl tax),Tax Refund On Sales,Amount merchants are responsible for refunding customers when they report order errors (incl tax),Adjustments merchants made to the price of items once an order has been placed (excl tax),Tax on in-store price adjustments,Merchant promotions applied to the order,Tax on merchant promotions applied to the order,Merchant promotions applied to the delivery fee charged to Eaters,Tax on merchant promotions applied to the delivery fee charged to Eaters,Offer Redemption Fee,Fee charged to eater by the merchant for the packaging material,Amount merchant charges Uber for co-funded marketing campaigns. Varies depending on co-funding % for the campaign.,"Total item sales including promotions, adjustments and bag fee incl tax where applicable","The fee Uber charges to merchant to make their store visible to potential customers, provide support and other related services ( %fee is applied to sub-total before discounts) ",The % Marketplace fee Uber charges merchant,Tax on Marketplace fee charged to merchant by Uber,Fixed Fee charged to merchant by Uber for using Ubers delivery network ,Tax on delivery network fee charged to merchant by Uber,A flat % fee on the basket charged by Uber to merchants for processing every order ,"Where delivery fee is greater than cost of delivery, this is equal to (delivery fee minus the cost of delivery) where applicable",Tax on service fee charged by merchants to eaters,"For merchants who perform their own delivery, the tip from the Eater to the courier",Amount directed to Merchant Capital payments,Description of adhoc one-time payments or charges from Uber to the merchant,"All miscellaneous payments like Ad payments, Ad credits etc. inclusive of tax",Tax on Uber funded promotions applied to the order,Sales tax Uber Eats is required to pay in jurisdictions with marketplace facilitator laws ,"As required by the IRS, a % withheld from payments if the EIN/TIN is missing or does not match IRS records.",Total payout associated with this order (negative if associated with a refund)  Sales + Adjustments - promotions + marketing adjustment + Bag fee + delivery fee (self delivery) + tips (self-delivery) - marketplace fee +/- Other payments - marketplace facilitator tax  (incl tax where applicable),Date payout initiated by Uber (generally the Monday following the prior week),Amount commercially agreed to between Merchant and Uber added on a per item basis and charged to the Eater on Merchant’s behalf	,Applicable taxes due on the Markup Amount,"This is the ID from retailers, used to identify retailer loyalty customers",The reference ID for identifying the payout related to this order in the Payout Summary Report CSV
Store Name,Store ID,Order ID,Workflow ID,Dining Mode,Payment Mode,Order Channel,Order Status,Order Date,Order Accept Time,Customer Uber-Membership Status,Sales (excl. tax),Tax on Sales,Sales (incl. tax),Order Error Adjustments,Tax on Order Error Adjustments,Order Error Adjustments (incl. tax),Price adjustments (excl. tax),Tax on Price Adjustments,Offers on items (incl. tax),Tax On Offers on items,Delivery Offer Redemptions (incl. tax),Tax On Delivery Offer Redemptions,Offer Redemption Fee,Bag Fee,Marketing Adjustment,Total Sales after Adjustments (incl tax),Marketplace Fee,Marketplace fee %,Tax on Marketplace Fee,Delivery Network Fee,Tax on Delivery Network Fee,Order Processing Fee,Delivery Fee,Tax On Delivery Fee,Tips,Capital payments,Other payments description,Other payments,"Marketplace Facilitator Tax Adjustment
",Marketplace Facilitator Tax,Backup Withholding Tax,Total payout ,Payout Date,Markup Amount,Markup Tax,Retailer Loyalty ID,Payout reference ID
Capriotti's Sandwich Shop (IA069),69|15645,,,,,UberEats Unknown,,8/25/25,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Ad Spend,-2.24,,0,0,-2.24,9/2/25,0,0,,R5A9UDYU72ZTI92
Capriotti's Sandwich Shop (IA069),69|15645,,,,,UberEats Unknown,,8/26/25,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Ad Spend,-3.61,,0,0,-3.61,9/2/25,0,0,,R5A9UDYU72ZTI92
Capriotti's Sandwich Shop (IA069),69|15645,#E13D7,2e84a155-f968-42b2-8f3f-56bad6ee13d7,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,8/26/25,10:35 AM,Uber One member,98.89,6.92,105.81,0,0,0,0,0,0,0,0,0,0,0,0,105.81,-17.8,18,0,0,0,0,0,0,0,0,,0,,-6.92,0,81.09,9/2/25,0,0,,R5A9UDYU72ZTI92
Capriotti's Sandwich Shop (IA069),69|15645,#95A3C,a2c4b698-85b2-413d-891f-1f838ef95a3c,Delivery - Partner Using Uber App,Digital,UberEats Android,Completed,8/26/25,1:38 PM,Uber One member,42.47,2.98,45.45,0,0,0,0,0,0,0,0,0,0,0,0,45.45,-8.92,21,0,0,0,0,0,0,0,0,,0,,-2.98,0,33.55,9/2/25,0,0,,R5A9UDYU72ZTI92
Capriotti's Sandwich Shop (IA069),69|15645,,,,,UberEats Unknown,,8/27/25,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Ad Spend,-3.19,,0,0,-3.19,9/2/25,0,0,,R5A9UDYU72ZTI92
Capriotti's Sandwich Shop (IA069),69|15645,#8005E,b0e32a4a-302f-4ef7-9547-655c9fd8005e,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,8/27/25,4:46 PM,Non-member,17.49,1.23,18.72,0,0,0,0,0,0,0,0,0,0,0,0,18.72,-3.15,18,0,0,0,0,0,0,0,0,,0,,-1.23,0,14.34,9/2/25,0,0,,R5A9UDYU72ZTI92
Capriotti's Sandwich Shop (IA069),69|15645,#DA464,2f8ee49f-1ab6-4892-8c0b-cbec490da464,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,8/27/25,5:45 PM,Uber One member,30.08,2.48,32.56,0,0,0,0,0,0,0,0,0,0,0,0,32.56,-6.32,21,0,0,0,0,0,0,0,0,,0,,-2.48,0,23.76,9/2/25,0,0,,R5A9UDYU72ZTI92
Capriotti's Sandwich Shop (IA069),69|15645,#10132,be398c82-0cc7-4144-b85f-a1949c810132,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,8/27/25,6:35 PM,Uber One member,17.49,1.23,18.72,0,0,0,0,0,0,0,0,0,0,0,0,18.72,-3.67,21,0,0,0,0,0,0,0,0,,0,,-1.23,0,13.82,9/2/25,0,0,,R5A9UDYU72ZTI92
Capriotti's Sandwich Shop (IA069),69|15645,,,,,UberEats Unknown,,8/28/25,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Ad Spend,-2.17,,0,0,-2.17,9/2/25,0,0,,R5A9UDYU72ZTI92
