Store ID,Store Name,Business ID,Merchant Store ID,Transactions Start Local Date,Transactions End Local Date,Currency,Subtotal,Subtotal Tax Passed by DoorDash to Merchant,Commission,Commission Tax,Drive Charge,Marketing Fees (for historical reference only) | (All discounts and fees),Marketing Fee Tax (for historical reference only) | (Taxes on any applicable marketing fees),Total Tips,Error Charges,Adjustments | (for historical reference only),Total Before Adjustments,Credit,Debit,Estimated Payout,Tax Remitted by DoorDash to State,Subtotal for tax,DoorDash Funded Subtotal Discount Amount | (for historical reference only),Merchant Funded Subtotal Discount Amount | (for historical reference only),Merchant funded loyalty discount amount,External Gift Card Credit Amount,Consumer Delivery Fee,Consumer Service Fee,Consumer Small Order Fee,Consumer Legislative Fee,Consumer Tip,Snap Ebt Discount,Tax Remitted by DoorDash on Fees DoorDash Charges to Merchant,Other Merchant Fee,Bottle Deposit Fee,Bottle Deposit Fee Tax,Discounts,Printer Fee,Tablet Fee,Payment Processing Fee,Delivery Order Fee,Pickup Order Fee,Staff Tip,Customer Discounts from Marketing | (Funded by You),Customer Discounts from Marketing | (Funded by DoorDash),Customer Discounts from Marketing | (Funded by a Third-party),Marketing Fees | (Including any applicable taxes),DoorDash Marketing Credit,Third-party Contribution,Adjustments
27964,Old Town,2324,AZ104,2025-09-15,2025-09-21,USD,5102.90,382.50,504.05,0.00,0.00,350.93,0.00,67.72,28.90,-23.96,4319.57,4324.51,28.90,4295.61,0.00,4776.41,7.99,290.54,23.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-11.99,0.00,0.00,89.84,0.00,0.00,67.72,-290.54,-7.99,0.00,-308.23,7.99,0.00,-23.96
27965,N 87th Street,2324,AZ081,2025-09-15,2025-09-21,USD,2853.17,210.40,256.87,0.00,0.00,210.38,0.00,63.88,8.43,-2.00,2474.59,2481.02,8.43,2472.59,0.00,2630.45,0.00,172.76,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-47.96,0.00,0.00,51.24,0.00,0.00,63.88,-172.76,0.00,0.00,-115.60,0.00,0.00,-2.00
75721,North Town Center,2324,NV041,2025-09-15,2025-09-21,USD,4221.83,0.00,213.83,0.00,0.00,76.14,0.00,179.40,5.90,-44.93,3850.54,3811.51,5.90,3805.61,337.77,4033.20,0.00,63.27,44.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-80.43,0.00,0.00,132.86,0.00,0.00,179.40,-63.27,0.00,0.00,-54.40,0.00,0.00,-44.93
75722,West Cheyenne Ave,2324,NV021,2025-09-15,2025-09-21,USD,4708.84,0.00,357.31,0.00,0.00,133.49,0.00,89.06,11.51,-193.94,4060.97,3881.04,14.01,3867.03,361.68,4345.27,19.43,108.74,193.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-41.46,0.00,0.00,103.22,0.00,0.00,89.06,-108.74,-19.43,0.00,-114.69,19.43,0.00,-193.94
75723,Santa Fe Station,2324,NV075,2025-09-15,2025-09-21,USD,2135.35,0.00,298.93,0.00,0.00,63.07,0.00,16.73,49.01,-9.98,1619.21,1658.24,49.01,1609.23,165.00,2010.24,0.00,52.18,9.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-62.95,0.00,0.00,24.67,0.00,0.00,16.73,-52.18,0.00,0.00,-45.13,0.00,0.00,-9.98
75724,West Azure,2324,NV043,2025-09-15,2025-09-21,USD,2342.11,0.00,100.63,0.00,0.00,23.96,0.00,119.51,0.00,-48.97,2203.89,2154.92,0.00,2154.92,186.68,2228.38,2.99,20.00,48.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-44.76,0.00,0.00,76.38,0.00,0.00,119.51,-20.00,-2.99,0.00,-15.96,2.99,0.00,-48.97
75725,Aliante Casino,2324,NV055,2025-09-15,2025-09-21,USD,1498.99,0.00,179.97,0.00,0.00,76.41,0.00,10.58,0.00,-43.46,1151.64,1108.18,0.00,1108.18,115.78,1382.00,2.99,63.54,43.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-9.99,0.00,0.00,24.14,0.00,0.00,10.58,-63.54,-2.99,0.00,-80.29,2.99,0.00,-43.46
75726,Nature Park Drive,2324,NV126,2025-09-15,2025-09-21,USD,4179.93,0.00,200.47,0.00,0.00,103.49,0.00,121.10,15.59,-111.94,3764.00,3667.65,15.59,3652.06,326.70,3940.85,5.00,85.67,111.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-36.47,0.00,0.00,121.04,0.00,0.00,121.10,-85.67,-5.00,0.00,-77.79,5.00,0.00,-111.94
75727,West Craig Road,2324,NV031,2025-09-15,2025-09-21,USD,3416.81,0.00,342.99,0.00,0.00,93.17,0.00,51.08,0.00,-28.07,2859.56,2831.49,0.00,2831.49,273.11,3260.64,10.98,76.34,28.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-46.76,0.00,0.00,64.28,0.00,0.00,51.08,-76.34,-10.98,0.00,-77.96,10.98,0.00,-28.07
75730,S Fort Apache,2324,NV035,2025-09-15,2025-09-21,USD,4921.09,0.00,295.12,0.00,0.00,113.89,0.00,148.76,40.25,-73.91,4412.04,4378.68,40.55,4338.13,391.56,4716.70,27.39,94.09,73.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-11.99,0.00,0.00,128.65,0.00,0.00,148.76,-94.09,-27.39,0.00,-87.71,27.39,0.00,-73.91
