Store ID,Store Name,Business ID,Merchant Store ID,Transactions Start Local Date,Transactions End Local Date,Currency,Subtotal,Subtotal Tax Passed by DoorDash to Merchant,Commission,Commission Tax,Drive Charge,Marketing Fees (for historical reference only) | (All discounts and fees),Marketing Fee Tax (for historical reference only) | (Taxes on any applicable marketing fees),Total Tips,Error Charges,Adjustments | (for historical reference only),Total Before Adjustments,Credit,Debit,Estimated Payout,Tax Remitted by DoorDash to State,Subtotal for tax,DoorDash Funded Subtotal Discount Amount | (for historical reference only),Merchant Funded Subtotal Discount Amount | (for historical reference only),Merchant funded loyalty discount amount,External Gift Card Credit Amount,Consumer Delivery Fee,Consumer Service Fee,Consumer Small Order Fee,Consumer Legislative Fee,Consumer Tip,Snap Ebt Discount,Tax Remitted by DoorDash on Fees DoorDash Charges to Merchant,Other Merchant Fee,Bottle Deposit Fee,Bottle Deposit Fee Tax,Discounts,Printer Fee,Tablet Fee,Payment Processing Fee,Delivery Order Fee,Pickup Order Fee,Staff Tip,Customer Discounts from Marketing | (Funded by You),Customer Discounts from Marketing | (Funded by DoorDash),Customer Discounts from Marketing | (Funded by a Third-party),Marketing Fees | (Including any applicable taxes),DoorDash Marketing Credit,Third-party Contribution,Adjustments
27964,Old Town,2324,AZ104,2025-09-22,2025-09-28,USD,6564.72,490.06,646.67,0.00,0.00,406.85,0.00,65.44,34.52,-26.99,5593.33,5601.67,35.33,5566.34,0.00,6121.69,20.12,331.61,26.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-84.43,0.00,0.00,109.62,0.00,0.00,65.44,-331.61,-13.40,-6.72,-320.04,13.40,6.72,-26.99
27965,N 87th Street,2324,AZ081,2025-09-22,2025-09-28,USD,3152.49,231.85,323.69,0.00,0.00,263.41,0.00,36.22,26.91,-4.00,2590.82,2614.11,27.29,2586.82,0.00,2898.61,10.00,213.91,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-35.97,0.00,0.00,52.86,0.00,0.00,36.22,-213.91,-10.00,0.00,-176.40,10.00,0.00,-4.00
75721,North Town Center,2324,NV041,2025-09-22,2025-09-28,USD,4384.96,0.00,257.65,0.00,0.00,83.86,0.00,195.73,0.00,-37.99,3968.89,3930.90,0.00,3930.90,349.53,4209.01,10.00,69.01,37.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-58.95,0.00,0.00,126.12,0.00,0.00,195.73,-69.01,-10.00,0.00,-100.07,10.00,0.00,-37.99
75722,West Cheyenne Ave,2324,NV021,2025-09-22,2025-09-28,USD,5413.01,0.00,349.99,0.00,0.00,172.65,0.00,246.13,5.07,-93.96,4784.69,4695.80,5.07,4690.73,421.32,5111.90,19.23,141.96,93.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-45.96,0.00,0.00,141.16,0.00,0.00,246.13,-141.96,-19.23,0.00,-190.31,19.23,0.00,-93.96
75723,Santa Fe Station,2324,NV075,2025-09-22,2025-09-28,USD,1981.49,0.00,270.53,0.00,0.00,86.79,0.00,24.88,0.00,-7.98,1514.09,1506.11,0.00,1506.11,153.02,1863.60,2.99,71.94,7.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-37.97,0.00,0.00,24.61,0.00,0.00,24.88,-71.94,-2.99,0.00,-87.23,2.99,0.00,-7.98
75724,West Azure,2324,NV043,2025-09-22,2025-09-28,USD,5306.78,0.00,111.85,0.00,0.00,46.32,0.00,391.79,3.19,-131.54,5280.06,5152.61,4.09,5148.52,424.56,5114.86,0.00,38.40,131.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-21.98,0.00,0.00,172.40,0.00,0.00,391.79,-38.40,0.00,0.00,-70.69,0.00,0.00,-131.54
75725,Aliante Casino,2324,NV055,2025-09-22,2025-09-28,USD,1199.12,0.00,168.43,0.00,0.00,91.63,0.00,10.76,0.00,0.00,842.45,854.20,11.75,842.45,89.62,1089.86,0.00,75.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-33.47,0.00,0.00,13.04,0.00,0.00,10.76,-75.79,0.00,0.00,-76.70,0.00,0.00,0.00
75726,Nature Park Drive,2324,NV126,2025-09-22,2025-09-28,USD,4363.67,0.00,266.41,0.00,0.00,115.83,0.00,206.07,0.00,-49.98,3902.90,3852.92,0.00,3852.92,345.17,4183.68,0.00,95.04,49.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-34.97,0.00,0.00,123.47,0.00,0.00,206.07,-95.04,0.00,0.00,-146.95,0.00,0.00,-49.98
75727,West Craig Road,2324,NV031,2025-09-22,2025-09-28,USD,3640.36,0.00,297.76,0.00,0.00,128.91,0.00,125.93,0.00,-57.21,3078.37,3021.16,0.00,3021.16,286.41,3456.41,21.59,105.15,57.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,84.02,0.00,0.00,125.93,-105.15,-21.59,0.00,-200.99,21.59,0.00,-57.21
75730,S Fort Apache,2324,NV035,2025-09-22,2025-09-28,USD,4263.74,0.00,347.69,0.00,0.00,184.61,0.00,124.74,5.87,-31.13,3550.48,3525.22,5.87,3519.35,324.41,3992.86,9.99,151.94,37.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-74.94,0.00,0.00,93.58,0.00,0.00,124.74,-151.94,-9.99,0.00,-163.98,9.99,0.00,-31.13
75731,West Flamingo Road,2324,NV023,2025-09-22,2025-09-28,USD,3832.16,0.00,268.63,0.00,0.00,128.29,0.00,177.20,29.09,-83.27,3382.85,3328.67,29.09,3299.58,299.96,3633.37,10.00,105.52,83.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,91.52,0.00,0.00,177.20,-105.52,-10.00,0.00,-131.75,10.00,0.00,-83.27
