Store ID,Store Name,Business ID,Merchant Store ID,Transactions Start Local Date,Transactions End Local Date,Currency,Subtotal,Subtotal Tax Passed by DoorDash to Merchant,Commission,Commission Tax,Drive Charge,Marketing Fees (for historical reference only) | (All discounts and fees),Marketing Fee Tax (for historical reference only) | (Taxes on any applicable marketing fees),Total Tips,Error Charges,Adjustments | (for historical reference only),Total Before Adjustments,Credit,Debit,Estimated Payout,Tax Remitted by DoorDash to State,Subtotal for tax,DoorDash Funded Subtotal Discount Amount | (for historical reference only),Merchant Funded Subtotal Discount Amount | (for historical reference only),Merchant funded loyalty discount amount,External Gift Card Credit Amount,Consumer Delivery Fee,Consumer Service Fee,Consumer Small Order Fee,Consumer Legislative Fee,Consumer Tip,Snap Ebt Discount,Tax Remitted by DoorDash on Fees DoorDash Charges to Merchant,Other Merchant Fee,Bottle Deposit Fee,Bottle Deposit Fee Tax,Discounts,Printer Fee,Tablet Fee,Payment Processing Fee,Delivery Order Fee,Pickup Order Fee,Staff Tip,Customer Discounts from Marketing | (Funded by You),Customer Discounts from Marketing | (Funded by DoorDash),Customer Discounts from Marketing | (Funded by a Third-party),Marketing Fees | (Including any applicable taxes),DoorDash Marketing Credit,Third-party Contribution,Adjustments
27964,Old Town,2324,AZ104,2025-09-29,2025-10-05,USD,5495.41,403.87,684.47,0.00,0.00,459.88,0.00,59.66,55.55,-46.97,4499.17,4508.05,55.85,4452.20,0.00,5040.70,0.00,371.77,46.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-35.97,0.00,0.00,69.54,0.00,0.00,59.66,-371.77,0.00,0.00,-242.47,0.00,0.00,-46.97
27965,N 87th Street,2324,AZ081,2025-09-29,2025-10-05,USD,3521.56,256.64,375.91,0.00,0.00,289.66,0.00,49.35,53.75,-26.00,2876.93,2904.68,53.75,2850.93,0.00,3208.38,25.00,234.22,26.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-52.96,0.00,0.00,54.73,0.00,0.00,49.35,-234.22,-25.00,0.00,-179.05,25.00,0.00,-26.00
75721,North Town Center,2324,NV041,2025-09-29,2025-10-05,USD,4420.25,0.00,216.57,0.00,0.00,49.89,0.00,156.52,0.00,-42.00,4110.31,4068.31,0.00,4068.31,352.77,4274.96,9.34,40.98,42.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-52.97,0.00,0.00,133.64,0.00,0.00,156.52,-40.98,-9.34,0.00,-22.30,9.34,0.00,-42.00
75722,West Cheyenne Ave,2324,NV021,2025-09-29,2025-10-05,USD,3943.43,0.00,226.29,0.00,0.00,77.35,0.00,105.60,12.79,-49.98,3547.81,3510.62,12.79,3497.83,310.46,3774.93,9.54,61.51,49.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-47.47,0.00,0.00,111.37,0.00,0.00,105.60,-61.51,-9.54,0.00,-41.79,9.54,0.00,-49.98
75723,Santa Fe Station,2324,NV075,2025-09-29,2025-10-05,USD,1191.68,0.00,165.17,0.00,0.00,24.33,0.00,13.24,20.72,0.00,964.75,1017.21,52.46,964.75,95.60,1167.30,5.00,19.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.95,0.00,0.00,13.24,-19.38,-5.00,0.00,-19.95,5.00,0.00,0.00
75724,West Azure,2324,NV043,2025-09-29,2025-10-05,USD,2731.41,0.00,88.77,0.00,0.00,31.88,0.00,114.89,37.63,-40.00,2538.68,2536.31,37.63,2498.68,214.43,2602.50,15.00,25.94,40.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-47.97,0.00,0.00,92.37,0.00,0.00,114.89,-25.94,-15.00,0.00,-14.94,15.00,0.00,-40.00
75725,Aliante Casino,2324,NV055,2025-09-29,2025-10-05,USD,1693.57,0.00,255.12,0.00,0.00,72.12,0.00,20.69,6.18,0.00,1326.63,1332.81,6.18,1326.63,133.17,1614.42,12.40,59.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-10.49,0.00,0.00,15.70,0.00,0.00,20.69,-59.25,-12.40,0.00,-40.89,12.40,0.00,0.00
75726,Nature Park Drive,2324,NV126,2025-09-29,2025-10-05,USD,4766.06,0.00,207.23,0.00,0.00,89.36,0.00,164.55,13.19,-163.55,4367.58,4218.42,14.39,4204.03,364.10,4432.06,5.00,72.53,163.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-92.92,0.00,0.00,142.33,0.00,0.00,164.55,-72.53,-5.00,0.00,-34.83,5.00,0.00,-163.55
75727,West Craig Road,2324,NV031,2025-09-29,2025-10-05,USD,2628.47,0.00,169.10,0.00,0.00,55.07,0.00,49.19,35.75,-7.25,2251.96,2280.46,35.75,2244.71,204.36,2490.36,9.24,44.18,7.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-77.44,0.00,0.00,71.47,0.00,0.00,49.19,-44.18,-9.24,0.00,-27.76,9.24,0.00,-7.25
75730,S Fort Apache,2324,NV035,2025-09-29,2025-10-05,USD,4186.22,0.00,308.59,0.00,0.00,115.81,0.00,106.49,19.66,-57.97,3667.47,3629.46,19.96,3609.50,330.32,3995.24,12.99,94.03,57.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-28.98,0.00,0.00,98.86,0.00,0.00,106.49,-94.03,-12.99,0.00,-75.12,12.99,0.00,-57.97
