"start_date","end_date","grubhub_store_id","store_number","store_name","street_address","city","state","postal_code","total_orders","subtotal_sales","self_delivery_charge","merchant_fees","sales_tax","tip","merchant_total","commission","delivery_commission","gh_plus_commission","order_processing_fee","withheld_sales_tax","merchant_funded_promotion_and_loyalty","merchant_net_total"
"2025-10-06","2025-10-12","1472076","DE025","Capriotti's Sandwich Shop","456 W Glenwood Ave ","Smyrna","DE","19977","5","209.12","0.00","0.00","0.00","0.00","209.12","-20.92","-20.92","0.00","0.00","0.00","0.00","167.28"
"2025-10-06","2025-10-12","1278731","NV121","Capriotti's Sandwich Shop","11010 Lavender Hill Dr Ste 160  ","Las Vegas","NV","89135","6","104.92","0.00","0.00","8.78","0.00","113.70","-10.50","-6.36","0.00","0.00","-8.78","0.00","88.06"
"2025-10-06","2025-10-12","347944","NV055","Capriotti's Sandwich Shop","7300 N Aliante Pkwy ","North Las Vegas","NV","89084","8","210.25","0.00","0.00","17.61","0.00","227.86","-24.18","-21.04","0.00","0.00","-17.61","0.00","165.03"
"2025-10-06","2025-10-12","2289971","IA190","Capriotti's Sandwich Shop","13101 University Ave ","Clive","IA","50325","13","385.21","0.00","0.00","26.98","0.00","412.19","-38.54","-36.74","0.00","0.00","-26.98","0.00","309.93"
"2025-10-06","2025-10-12","321666","NV062","Capriotti's Sandwich Shop","2300 Paseo Verde Pkwy ","Henderson","NV","89052","2","42.56","0.00","0.00","3.56","5.00","51.12","-4.26","-1.33","0.00","0.00","-3.56","0.00","41.97"
"2025-10-06","2025-10-12","5182088","PA100251","Capriotti's Sandwich Shop","467 N Sumneytown Pike Building B Unit 302  ","North Wales","PA","19454","15","483.31","0.00","0.00","28.99","0.00","512.30","-48.36","-42.12","0.00","0.00","-28.99","0.00","392.83"
"2025-10-06","2025-10-12","8844736","TX100233","Capriotti's Sandwich Shop","3194 W University Dr  ","McKinney","TX","75071","5","182.62","0.00","0.00","12.42","0.00","195.04","-21.55","-21.55","0.00","0.00","0.00","-32.00","119.94"
"2025-10-06","2025-10-12","10859640","Warren","Capriotti's Sandwich Shop","2484 Niles Cortland Rd SE  ","Warren","OH","44484","8","265.03","0.00","0.00","0.00","0.00","265.03","-26.52","-26.52","0.00","0.00","0.00","0.00","211.99"
"2025-10-06","2025-10-12","4703752","MD100298","Capriotti's Sandwich Shop","8036 Ritchie HighwaySuite 1D-2  ","Pasadena","MD","21122","13","378.77","0.00","0.00","22.73","0.00","401.50","-37.91","-36.09","0.00","0.00","-22.73","0.00","304.77"
"2025-10-06","2025-10-12","1026776","NV040","Capriotti's Sandwich Shop","90 S Stephanie St  ","Henderson","NV","89012","3","88.75","0.00","0.00","7.43","0.00","96.18","-10.51","-10.51","0.00","0.00","-7.43","0.00","67.73"
"2025-10-06","2025-10-12","5200176","IN170","Capriotti's Sandwich Shop","902 Roby Dr  ","Hammond","IN","46320","3","138.82","0.00","0.00","11.11","0.00","149.93","-13.89","-10.21","0.00","0.00","-11.11","0.00","114.72"
