Campaign UUID,Offer type,Status,Start date,End date,Stores,Audience,Sales (USD),New customers,Orders,Uber funding (%),Items
20d64f58-53e5-4452-b9fa-991c13df0f60,"Happy Hour: 30% off",ACTIVE,"Oct 7, 2025","Nov 6, 2025",1,"All customers","$455",1,10,0,""
f9e2d9f3-3365-4597-a02a-fa71be240da0,"20% off, up to $25 ",ACTIVE,"Sep 30, 2025","Oct 31, 2025",1,"All customers","$1,401",8,24,0,""
86273db9-ffc2-4b73-96ea-3e36ee832aa9,"Buy 1, Get 1 Free",ACTIVE,"Sep 30, 2025","Oct 31, 2025",1,"All customers","$974",9,21,0,"Bottled Drinks;Bowl of Soup;Brookie;Cookie;Fountain Drink;Grilled Cheese;Kid's Meal;Regular Chips;Side of Cole Slaw"
00091717-04a6-407c-9406-410ea1f2ecbd,"Happy Hour: 30% off",ACTIVE,"Sep 27, 2025","Sep 28, 2026",1,"All customers","$171",2,5,0,""
045e7fd3-7034-4f34-8710-109dd91cb795,"Buy 1, get a free item",ACTIVE,"Sep 21, 2025","Nov 29, 2025",1,"All customers","$0",0,0,0,""
2d7e5883-e7db-45e7-add9-37238a0a2466,"Buy 1, get a free item",ACTIVE,"Sep 21, 2025","Nov 30, 2025",1,"All customers","$0",0,0,0,""
fdd8105f-a3ea-4fc5-afc9-33703bdc1e75,"Buy 1, Get 1 Free",ACTIVE,"Sep 21, 2025","Nov 29, 2025",1,"All customers","$619",9,19,0,"BLT;Bowl of Soup;Classic Italian;Grilled Cheese;Homemade Tuna;Homemade Turkey"
f005bb3a-25a3-47d3-ad0a-eb69c8019903,"Happy Hour: 25% off",ACTIVE,"Sep 21, 2025","Nov 29, 2025",1,"All customers","$188",1,7,0,""
60cedb4c-602c-4a97-bede-01f4a07a8a65,"Buy 1, get a free item",ACTIVE,"Sep 21, 2025","Nov 29, 2025",1,"All customers","$0",0,0,0,""
79d6d0a4-d0e4-44b5-a104-8fea9092c2fb,"Buy 1, get a free item",ACTIVE,"Sep 21, 2025","Nov 29, 2025",1,"All customers","$0",0,0,0,""
1e33b090-37a3-4b26-bbb8-e930e7a6749d,"Buy 1, get a free item",ACTIVE,"Sep 21, 2025","Nov 29, 2025",1,"All customers","$185",4,6,0,"BLT;Classic Italian;Homemade Tuna;The Bobbie"
16b93356-24f1-45ba-aaa5-5be46d27c428,"Buy 1, Get 1 Free",ACTIVE,"Sep 21, 2025","Nov 29, 2025",1,"All customers","$429",8,14,0,"BLT;Bowl of Soup;Classic Italian;Homemade Tuna;Homemade Turkey;The Bobbie"
9b1dddf0-bac5-4729-b3e4-a7b5dc8424cc,"Happy Hour: 30% off",ACTIVE,"Sep 21, 2025","Nov 29, 2025",1,"All customers","$182",4,7,0,""
1a318fac-70d0-46dd-a5c5-8091b64cad68,"Buy 1, Get 1 Free",ACTIVE,"Aug 11, 2025","Aug 12, 2026",1,"All customers","$73",1,2,0,"Catering Side of Cole Slaw"
1df3da0e-28fa-4a31-a829-145281677c12,"Save on Menu Items",ACTIVE,"Jul 21, 2025","Jul 22, 2026",1,"All customers","$0",0,0,0,""
2cdcc2f4-4a3d-4c3b-8caa-1c8e3d6212e5,"Save on Menu Items",ACTIVE,"Jul 21, 2025","Jul 22, 2026",1,"All customers","$277",1,1,0,"Little Italy™ - Party Tray"
a0242c73-7a09-4996-8b93-61e39f927e04,"Free Item (Spend 30)",ACTIVE,"Jul 21, 2025","Jul 22, 2026",1,"All customers","$870",7,16,0,"Brookie"
98cdbf98-622a-4d34-9838-1abf33c1a902,"Spend 50, Save 5",ACTIVE,"Jul 14, 2025","Jul 15, 2026",1,"All customers","$0",0,0,0,""
1d0952a4-965a-4924-89e9-8c3c930ee471,"Spend 50, Save 5",ACTIVE,"Jul 10, 2025","Jul 11, 2026",1,"All customers","$452",5,7,0,""
a02c1389-02b6-4495-b219-a7f80cc24cab,"Buy 1, Get 1 Free",ACTIVE,"Jun 30, 2025","Jul 1, 2026",2,"All customers","$0",0,0,0,""
5314a1d2-03ff-49d3-a0ef-102691169424,"Happy Hour: 25% off",ACTIVE,"Jun 11, 2025","Jun 11, 2026",1,"All customers","$284",2,8,0,""
6a9b24b9-804e-4db3-a0c7-ae05f2c21b85,"Spend 20, Save 5",ACTIVE,"May 23, 2025","May 23, 2026",3,"All customers","$702",6,20,0,""
0c23e521-4540-4f61-b198-e5ec9dee6b2e,"Free Item (Spend 30)",ACTIVE,"May 23, 2025","May 23, 2026",3,"All customers","$0",0,0,0,""
0a4a1785-39a8-4622-af96-98d992b82bec,"Spend 30, Save 8",ACTIVE,"May 23, 2025","May 23, 2026",2,"Uber One members only","$98",2,3,0,""
56000ece-ead3-4246-b6fd-5867d3181c7f,"Buy 1, Get 1 Free",ACTIVE,"May 23, 2025","May 23, 2026",1,"All customers","$0",0,0,0,""
bfcb4fb5-a77a-4d08-871a-5f74c4f73340,"Spend 30, Save 8",ACTIVE,"May 22, 2025","May 23, 2026",1,"New customers only","$36",1,1,0,""
3dd7aeac-ed68-494d-ae4c-c91156430499,"Save on Menu Items",ACTIVE,"May 5, 2025","May 6, 2026",2,"All customers","$0",0,0,0,""
a1867250-c453-4f6c-ab7b-a1612d27c863,"Spend 20, Save 5",ACTIVE,"Mar 17, 2025","Mar 17, 2026",1,"All customers","$2,956",25,70,0,""
7a0b3114-efa7-4616-bf9c-30a97f763efe,"35% off",ACTIVE,"Feb 1, 2025","Feb 1, 2026",4,"All customers","$2,593",21,78,0,""
47363c2b-c4ac-4bbb-bb78-7dcd729b6805,"Spend 20, Save 5",ACTIVE,"Feb 1, 2025","Feb 1, 2026",4,"All customers","$5,461",61,160,0,""
0fe0e418-ae02-40c8-a45a-f5a62014f55a,"Save on Menu Items",ACTIVE,"Dec 2, 2024","Dec 3, 2025",1,"All customers","$0",0,0,0,""
2a3b426d-3465-4da1-83e0-3d038a4e341b,"Save on Menu Items",ACTIVE,"Dec 2, 2024","Dec 3, 2025",1,"All customers","$0",0,0,0,""
2f362ae8-a5f3-4d02-8ede-e37c38a4d5fc,"Spend 40, Save 11",CANCELED,"Sep 1, 2025","Sep 1, 2026",142,"New customers only","$0",0,0,0,""
4c4cb33d-4d47-44da-954f-d8e870af01cf,"Spend 20, Save 5",CANCELED,"Feb 19, 2025","Feb 20, 2026",1,"All customers","$0",0,0,0,""
f7627b12-4596-41ba-bf5a-0609a7cdf810,"Spend 20, Save 5",CANCELED,"Feb 19, 2025","Feb 20, 2026",1,"All customers","$0",0,0,0,""
0d2b65fb-fee3-43a2-97ef-02bf4f3c30c3,"Category Discount",CANCELED,"Jan 23, 2025","Jan 24, 2026",1,"All customers","$0",0,0,0,""
32696c18-3dd3-4aaf-8157-140f6dd525bb,"Spend 20, Save 5",CANCELED,"Jan 12, 2025","Jan 13, 2026",1,"All customers","$0",0,0,0,""
9e495e25-234a-4ff8-91f3-b2bd9bd2ed5d,"Spend 15, Save 3",COMPLETED,"Oct 4, 2025","Oct 16, 2025",1,"All customers","$4,527",30,105,0,""
f0969fbc-1c62-4baa-8c04-3d6d610accf5,"Spend 35, Save 8",COMPLETED,"Sep 15, 2025","Oct 15, 2025",1,"All customers","$205",3,5,20,""
fbae23bb-0c80-428c-b02b-fed3b3fe3e47,"Spend 35, Save 8",COMPLETED,"Sep 15, 2025","Oct 15, 2025",1,"All customers","$371",2,4,20,""
4f716a67-b268-46fa-904c-78f7979fe859,"Spend 35, Save 8",COMPLETED,"Sep 15, 2025","Oct 15, 2025",1,"All customers","$616",4,10,20,""
b7e18f0d-58e4-483d-83b9-e5f3533b493b,"Spend 35, Save 8",COMPLETED,"Sep 15, 2025","Oct 15, 2025",1,"All customers","$885",4,18,20,""
95bc7604-7e77-444d-9273-47658f844b5e,"Spend 35, Save 8",COMPLETED,"Sep 15, 2025","Oct 15, 2025",1,"All customers","$190",1,4,20,""
