"order_channel","order_number","transaction_date","transaction_time_local","order_time_zone","grubhub_store_id","store_number","store_name","street_address","city","state","postal_code","transaction_type","fulfillment_type","gh_plus_customer","subtotal","subtotal_sales_tax","subtotal_sales_tax_exemption","self_delivery_charge","self_delivery_charge_tax","self_delivery_charge_tax_exemption","merchant_service_fee","merchant_service_fee_tax","merchant_service_fee_tax_exemption","merchant_flexible_fee_bag_fee","merchant_flexible_fee_bag_fee_tax","merchant_flexible_fee_bag_fee_tax_exemption","merchant_flexible_fee_pif_fee","merchant_flexible_fee_pif_fee_tax","merchant_flexible_fee_pif_fee_tax_exemption","tip","merchant_total","commission","delivery_commission","gh_plus_commission","processing_fee","withheld_tax","withheld_tax_exemption","merchant_funded_promotion","merchant_funded_loyalty","merchant_net_total","transaction_note","transaction_id"
"Marketplace","182832480953867","2026-02-03","09:00:00 PM","America/Los_Angeles","8842336",,"Teleferic Barcelona Los Gatos","50 University Ave  ","Los Gatos","CA","95030","Prepaid Order","Grubhub Delivery","GH+","59.00","4.07","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0E0","0E0","0E0","0E0","0E0","0E0","0.00","63.07","-11.80","-5.90","0.00","-1.77","0.00","0.00","-15.00","0.00","28.60",,"BwEAAAAAAIbsYCvOGDABfhHxmDEHWwUA68Y"
"Marketplace","182832480953867","2026-02-03","09:00:00 PM","America/Los_Angeles","8842336",,"Teleferic Barcelona Los Gatos","50 University Ave  ","Los Gatos","CA","95030","Order Adjustment","Grubhub Delivery","GH+","0.00","-0.55","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0E0","0E0","0E0","0E0","0E0","0E0","0.00","-0.55","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-0.55",,"CQMAAAAAAIbsYCvOGDABfhHxmDEHWwUA68YAAAAB"
"Marketplace","723332466062169","2026-02-02","12:13:00 PM","America/Los_Angeles","8848696",,"Teleferic Barcelona","855 El Camino Real #130  ","Palo Alto","CA","94301","Prepaid Order","Grubhub Delivery","GH+","34.00","3.10","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0E0","0E0","0E0","0E0","0E0","0E0","0.00","37.10","-6.80","-3.40","0.00","-1.43","0.00","0.00","0.00","0.00","25.47",,"BwEAAAAAAIcFONykbOAAaxHxrOEden4vLnY"
"Marketplace","274232512330203","2026-02-06","05:19:13 PM","America/Los_Angeles","8848696",,"Teleferic Barcelona","855 El Camino Real #130  ","Palo Alto","CA","94301","Order Adjustment","Pick-Up","GH+","0.00","1.36","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0E0","0E0","0E0","0E0","0E0","0E0","0.00","1.36","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.36","Tax Adjustment","CQMAAAAAAIcFOJQ7fwADvxHxvwGpkUEqA5oAAAAB"
"Marketplace","274232512330203","2026-02-06","05:19:13 PM","America/Los_Angeles","8848696",,"Teleferic Barcelona","855 El Camino Real #130  ","Palo Alto","CA","94301","Prepaid Order","Pick-Up","GH+","60.00","4.11","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0E0","0E0","0E0","0E0","0E0","0E0","2.00","66.11","-12.00","0.00","0.00","-1.86","0.00","0.00","-15.00","0.00","37.25",,"BwEAAAAAAIcFOJQ7fwADvxHxvwGpkUEqA5o"
"Marketplace","717432494108137","2026-02-04","09:15:00 PM","America/Los_Angeles","8848696",,"Teleferic Barcelona","855 El Camino Real #130  ","Palo Alto","CA","94301","Prepaid Order","Grubhub Delivery","GH+","58.00","3.93","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0E0","0E0","0E0","0E0","0E0","0E0","0.00","61.93","-11.60","-5.80","0.00","-1.73","0.00","0.00","-15.00","0.00","27.80",,"BwEAAAAAAIcFOC4BGTACTBHxmTGhqgP710k"
"Marketplace","717432494108137","2026-02-04","09:15:00 PM","America/Los_Angeles","8848696",,"Teleferic Barcelona","855 El Camino Real #130  ","Palo Alto","CA","94301","Order Adjustment","Grubhub Delivery","GH+","0.00","1.36","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0E0","0E0","0E0","0E0","0E0","0E0","0.00","1.36","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.36","Tax Adjustment","CQMAAAAAAIcFOC4BGTACTBHxmTGhqgP710kAAAAB"
"Marketplace",,"2026-02-04","07:37:30 AM","America/Los_Angeles","8848696",,"Teleferic Barcelona","855 El Camino Real #130  ","Palo Alto","CA","94301","GH Credit",,"non GH+","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0E0","0E0","0E0","0E0","0E0","0E0","0.00","3.05","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3.05","Account Adjustment - Ads Credit December","AwEAAAAAAIcFOGrQWRAB3xHxmRH9FIc2G4Q"
"Marketplace","780832532850278","2026-02-08","06:36:00 PM","America/Los_Angeles","8190216",,"Teleferic Barcelona Los Angeles","11930 San Vicente Blvd  ","Los Angeles","CA","90049","Prepaid Order","Grubhub Delivery","GH+","33.00","3.22","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0E0","0E0","0E0","0E0","0E0","0E0","0.00","36.22","-6.60","-3.30","0.00","-1.40","0.00","0.00","0.00","0.00","24.92",,"BwEAAAAAAHz5CIOLZvAFWxHxpvHZA1yIEhQ"
"Marketplace","793632498495179","2026-02-04","07:59:00 PM","America/Los_Angeles","8842336",,"Teleferic Barcelona Los Gatos","50 University Ave  ","Los Gatos","CA","95030","Order Adjustment","Grubhub Delivery","GH+","0.00","1.39","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0E0","0E0","0E0","0E0","0E0","0E0","0.00","1.39","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1.39","Tax Adjustment","CQMAAAAAAIbsYJkiDtACPhHxjtFN58r16DAAAAAB"
