Platform,Platform Location Name,Matched Store ID,Matched Shop Name,Match Method,Confidence,Notes
"doordash","University Dr","IL110507","IL110507 CK Chicago River West","address_city","0.50","city"
"doordash","Silverside Road","DE004","DE004 Wilmington Silverside","address_city","0.72","street:silverside,road, name"
"doordash","West Basin Rd","DE002","DE002 New Castle Basin","address_city","0.65","street:west,basin, name"
"doordash","Townpark Lane","GA141","GA141 Kennesaw Townpark","address_city","0.72","street:townpark,lane, name"
"doordash","Jennersville Rd","IL110507","IL110507 CK Chicago River West","address_city","0.50","city"
"doordash","N Broad St","IL110507","IL110507 CK Chicago River West","address_city","0.50","city"
"doordash","College Station","TX100248","TX100248 College Station University","address_city","0.74","city, name"
"doordash","Cortez Rd  West","IL110507","IL110507 CK Chicago River West","address_city","0.61","city, name"
"doordash","East 82nd St","PA016","PA016 West Chester Market","address_city","0.75","city, street:east"
"doordash","Castle Rock","CO100236","CO100236 Castle Rock Atrium","address_city","0.74","city, name"
"doordash","NE Cookingham Dr","IL110507","IL110507 CK Chicago River West","address_city","0.50","city"
"doordash","Gambrills","MD100332","MD100332 Gambrills MD RT 3","address_city","0.74","city, name"
"doordash","GVR Casino","IL110507","IL110507 CK Chicago River West","address_city","0.50","city"
"doordash","East Ridge Pike","PA220","PA220 Royersford Ridge Pike","address_city","0.77","street:ridge,pike, name"
"doordash","North Union St","DE001","DE001 Wilmington Union","address_city","0.65","street:north,union, name"
"doordash","East Sepulveda","IL110507","IL110507 CK Chicago River West","address_city","0.50","city"
"doordash","University Ave","IA190","IA190 Clive University","address_city","0.72","street:university,ave, name"
"doordash","Smithtown Bypass","NY100268","NY100268 Hauppauge Smithtown Bypass","address_city","0.74","street:smithtown,bypass, name"
"doordash","Sahara & Las Vegas","NV008","NV008 Las Vegas Sahara","doordash_address","0.75","DD: 322 W Sahara Ave, Las Vegas → NV008"
"doordash","Santa Fe Station","NV075","NV075 Las Vegas Santa Fe Casino","doordash_address","0.75","DD: 4949 N Rancho Dr, Las Vegas → NV075"
"doordash","W Blue Diamond Rd","NV058","NV058 Las Vegas Blue Diamond","address_city","0.72","street:blue,diamond, name"
"doordash","South  Walton Blvd","AR100196","AR100196 Bentonville Walton","address_city","0.65","street:walton,blvd, name"
"doordash","Brayden Pkwy","SC237","SC237 Fort Mill Brayden Pkwy","address_city","0.74","street:brayden,pkwy, name"
"doordash","Coeur d'Alene","ID100290","ID100290 Coeur d Alene Appleway","address_city","0.61","city, name"
"doordash","North Town Center","NV041","NV041 Las Vegas Town Center","doordash_address","0.75","DD: 1200 N Town Center Dr Ste B, Las Vegas → NV041"
"doordash","Sierra Hwy","IL110507","IL110507 CK Chicago River West","address_city","0.50","city"
"doordash","The Old Road","CA100205","CA100205 Valencia The Old Road","address_city","0.74","street:road,old, name"
"doordash","Moreno Beach Drive","CA100265","CA100265 Moreno Valley Moreno Beach","address_city","0.72","street:moreno,beach, name"
"doordash","Old Town","IL110507","IL110507 CK Chicago River West","address_city","0.50","city"
"doordash","Dana Park - Mesa","AZ071","AZ071 Mesa Dana Park","address_city","0.77","city, name"
"doordash","Byers Dr","IL110507","IL110507 CK Chicago River West","address_city","0.50","city"
"doordash","Paradise Road","NV028","NV028 Las Vegas Paradise","address_city","0.65","street:paradise,road, name"
"doordash","Niles Cortland Rd SE","","","doordash_no_master","0.00","DD location exists (2484 Niles Cortland Rd Se, Warren) but not in master list - needs manual review"
"doordash","Rancho Mirage","CA100451","CA100451 Rancho Mirage Bob Hope","address_city","0.74","city, name"
"doordash","Overland Park","KS207","KS207 Overland Park 119th","address_city","0.74","city, name"
"doordash","Bridge St","IL110507","IL110507 CK Chicago River West","address_city","0.50","city"
"doordash","Douglas Blvd","NV109399","NV109399 CFC LV NYNY CAPS","doordash_address","0.75","DD: 6805 S Las Vegas Blvd, Las Vegas → NV109399"
"doordash","Bel Air","MD100322","MD100322 Bel Air Bel Air","address_city","0.74","city, name"
