Platform,Platform Location Name,Suggested Store ID,Correct Store ID (FILL THIS IN),Notes
"DoorDash","University Dr","","",""
"DoorDash","Silverside Road","","",""
"DoorDash","West Basin Rd","","",""
"DoorDash","Townpark Lane","","",""
"DoorDash","Jennersville Rd","","",""
"DoorDash","Parker","","",""
"DoorDash","N Broad St","","",""
"DoorDash","College Station","","",""
"DoorDash","Shepherd - Fresno","","",""
"DoorDash","Cortez Rd  West","","",""
"DoorDash","East 82nd St","","",""
"DoorDash","Castle Rock","","",""
"DoorDash","NE Cookingham Dr","","",""
"DoorDash","De Soto-Chatsworth","","",""
"DoorDash","Gambrills","","",""
"DoorDash","GVR Casino","","",""
"DoorDash","East Ridge Pike","","",""
"DoorDash","North Union St","","",""
"DoorDash","East Sepulveda","","",""
"DoorDash","University Ave","","",""
"DoorDash","Smithtown Bypass","","",""
"DoorDash","Sahara & Las Vegas","","",""
"DoorDash","Santa Fe Station","","",""
"DoorDash","W Blue Diamond Rd","","",""
"DoorDash","South  Walton Blvd","","",""
"DoorDash","Brayden Pkwy","","",""
"DoorDash","Coeur d'Alene","","",""
"DoorDash","North Town Center","","",""
"DoorDash","Sierra Hwy","","",""
"DoorDash","Marlboro - Easton","","",""
"DoorDash","The Old Road","","",""
"DoorDash","Moreno Beach Drive","","",""
"DoorDash","Old Town","","",""
"DoorDash","Dana Park - Mesa","","",""
"DoorDash","Byers Dr","","",""
"DoorDash","Millsboro Plaza","","",""
"DoorDash","Murrieta Hot Springs Rd","","",""
"DoorDash","Paradise Road","","",""
"DoorDash","Niles Cortland Rd SE","","",""
"DoorDash","Rancho Mirage","","",""
"DoorDash","Overland Park","","",""
"DoorDash","Bridge St","","",""
"DoorDash","Douglas Blvd","","",""
"DoorDash","Bel Air","","",""
"DoorDash","South State Rd","","",""
"DoorDash","Catclaw - Abilene","","",""
"DoorDash","Raccoon Rd","","",""
"DoorDash","Stephanie St","","",""
"DoorDash","Chicago River West","","",""
