Platform,Platform Location Name,Suggested Store ID,Suggested Shop Name,Confidence,Match Method,Notes,Correct Store ID (FILL THIS IN)
"doordash","University Dr","IL110507","IL110507 CK Chicago River West","0.50","address_city","city",""
"doordash","Silverside Road","DE004","DE004 Wilmington Silverside","0.72","address_city","street:silverside,road, name",""
"doordash","West Basin Rd","DE002","DE002 New Castle Basin","0.65","address_city","street:west,basin, name",""
"doordash","Townpark Lane","GA141","GA141 Kennesaw Townpark","0.72","address_city","street:townpark,lane, name",""
"doordash","Jennersville Rd","IL110507","IL110507 CK Chicago River West","0.50","address_city","city",""
"doordash","N Broad St","IL110507","IL110507 CK Chicago River West","0.50","address_city","city",""
"doordash","College Station","TX100248","TX100248 College Station University","0.74","address_city","city, name",""
"doordash","Cortez Rd  West","IL110507","IL110507 CK Chicago River West","0.61","address_city","city, name",""
"doordash","East 82nd St","PA016","PA016 West Chester Market","0.75","address_city","city, street:east",""
"doordash","Castle Rock","CO100236","CO100236 Castle Rock Atrium","0.74","address_city","city, name",""
"doordash","NE Cookingham Dr","IL110507","IL110507 CK Chicago River West","0.50","address_city","city",""
"doordash","Gambrills","MD100332","MD100332 Gambrills MD RT 3","0.74","address_city","city, name",""
"doordash","GVR Casino","IL110507","IL110507 CK Chicago River West","0.50","address_city","city",""
"doordash","East Ridge Pike","PA220","PA220 Royersford Ridge Pike","0.77","address_city","street:ridge,pike, name",""
"doordash","North Union St","DE001","DE001 Wilmington Union","0.65","address_city","street:north,union, name",""
"doordash","East Sepulveda","IL110507","IL110507 CK Chicago River West","0.50","address_city","city",""
"doordash","University Ave","IA190","IA190 Clive University","0.72","address_city","street:university,ave, name",""
"doordash","Smithtown Bypass","NY100268","NY100268 Hauppauge Smithtown Bypass","0.74","address_city","street:smithtown,bypass, name",""
"doordash","Sahara & Las Vegas","NV008","NV008 Las Vegas Sahara","0.75","doordash_address","DD: 322 W Sahara Ave, Las Vegas → NV008",""
"doordash","Santa Fe Station","NV075","NV075 Las Vegas Santa Fe Casino","0.75","doordash_address","DD: 4949 N Rancho Dr, Las Vegas → NV075",""
"doordash","W Blue Diamond Rd","NV058","NV058 Las Vegas Blue Diamond","0.72","address_city","street:blue,diamond, name",""
"doordash","South  Walton Blvd","AR100196","AR100196 Bentonville Walton","0.65","address_city","street:walton,blvd, name",""
"doordash","Brayden Pkwy","SC237","SC237 Fort Mill Brayden Pkwy","0.74","address_city","street:brayden,pkwy, name",""
"doordash","Coeur d'Alene","ID100290","ID100290 Coeur d Alene Appleway","0.61","address_city","city, name",""
"doordash","North Town Center","NV041","NV041 Las Vegas Town Center","0.75","doordash_address","DD: 1200 N Town Center Dr Ste B, Las Vegas → NV041",""
"doordash","Sierra Hwy","IL110507","IL110507 CK Chicago River West","0.50","address_city","city",""
"doordash","The Old Road","CA100205","CA100205 Valencia The Old Road","0.74","address_city","street:road,old, name",""
"doordash","Moreno Beach Drive","CA100265","CA100265 Moreno Valley Moreno Beach","0.72","address_city","street:moreno,beach, name",""
"doordash","Old Town","IL110507","IL110507 CK Chicago River West","0.50","address_city","city",""
